	Before matching			After matching		
	Target	Comparator		Target	Comparator	
Characteristic	%	%	Std. diff	%	%	Std. diff
Age group	  	  	   	  	  	   
   -5 -  -1	 0.0	 0.0	 0.00	 0.0	  	   
    0 -   4	 1.9	 0.2	 0.16	 1.2	 0.3	 0.10
    5 -   9	 4.3	 0.5	 0.25	 2.5	 0.8	 0.13
   10 -  14	 5.4	 0.6	 0.28	 3.3	 1.4	 0.13
   15 -  19	 7.8	 1.9	 0.28	 6.4	 3.8	 0.12
   20 -  24	 5.5	 3.1	 0.12	 4.9	 4.5	 0.02
   25 -  29	 5.3	 4.1	 0.06	 4.7	 4.0	 0.03
   30 -  34	 6.3	 5.5	 0.03	 5.7	 5.3	 0.02
   35 -  39	 7.3	 6.8	 0.02	 7.0	 6.3	 0.03
   40 -  44	 8.1	 8.1	 0.00	 7.9	 7.6	 0.01
   45 -  49	 8.4	 9.5	-0.04	 8.6	 8.7	 0.00
   50 -  54	 8.4	10.3	-0.07	 9.0	 9.7	-0.02
   55 -  59	 7.6	10.0	-0.09	 8.3	 9.3	-0.03
   60 -  64	 6.3	 8.5	-0.09	 7.2	 8.2	-0.04
   65 -  69	 5.1	 9.3	-0.16	 6.5	 8.0	-0.06
   70 -  74	 3.7	 7.5	-0.17	 4.9	 6.0	-0.05
   75 -  79	 3.6	 6.7	-0.14	 4.9	 6.2	-0.06
   80 -  84	 3.0	 5.0	-0.10	 4.3	 5.9	-0.07
   85 -  89	 2.1	 2.5	-0.03	 2.9	 4.1	-0.06
Gender: female	56.8	57.0	 0.00	56.8	59.6	-0.06
Medical history: General	  	  	   	  	  	   
  Acute respiratory disease	31.7	28.3	 0.07	29.2	29.8	-0.01
  Attention deficit hyperactivity disorder	 8.3	 1.5	 0.32	 6.8	 6.2	 0.02
  Chronic liver disease	 1.4	 1.9	-0.03	 1.6	 2.2	-0.05
  Chronic obstructive lung disease	 4.8	 6.5	-0.08	 6.1	 9.6	-0.13
  Crohn's disease	 0.4	 0.4	 0.00	 0.4	 0.4	-0.01
  Dementia	 2.9	 1.9	 0.07	 3.9	 6.6	-0.12
