	Before matching			After matching		
	Target	Comparator		Target	Comparator	
Characteristic	%	%	Std. diff	%	%	Std. diff
Age group	  	  	   	  	  	   
    0 -   4	  	 0.0	   	  	  	   
    5 -   9	  	 0.0	   	  	  	   
   10 -  14	 0.3	 0.0	 0.06	 0.2	 0.1	 0.03
   15 -  19	 0.9	 0.2	 0.10	 1.0	 0.6	 0.05
   20 -  24	 1.1	 0.6	 0.06	 1.2	 1.0	 0.02
   25 -  29	 1.5	 1.2	 0.03	 1.5	 1.8	-0.02
   30 -  34	 3.2	 2.2	 0.06	 2.8	 3.8	-0.05
   35 -  39	 5.0	 3.4	 0.08	 4.8	 5.6	-0.04
   40 -  44	 7.3	 5.7	 0.06	 7.2	 7.0	 0.01
   45 -  49	11.7	10.0	 0.06	10.6	11.8	-0.04
   50 -  54	12.7	13.6	-0.03	12.8	12.4	 0.01
   55 -  59	15.9	17.3	-0.04	16.0	17.1	-0.03
   60 -  64	15.3	15.2	 0.00	15.3	13.3	 0.06
   65 -  69	 7.8	 9.4	-0.06	 7.6	 8.2	-0.02
   70 -  74	 5.1	 7.4	-0.10	 5.6	 5.5	 0.00
   75 -  79	 6.4	 7.6	-0.04	 7.3	 5.4	 0.08
   80 -  84	 4.3	 4.8	-0.02	 4.4	 4.5	-0.01
   85 -  89	 1.5	 1.5	 0.00	 1.6	 1.7	-0.01
Gender: female	72.1	59.0	 0.28	69.9	71.3	-0.03
Medical history: General	  	  	   	  	  	   
  Acute respiratory disease	38.2	31.0	 0.15	36.7	38.3	-0.03
  Attention deficit hyperactivity disorder	 4.3	 1.3	 0.19	 4.0	 4.2	-0.01
  Chronic liver disease	 3.3	 2.8	 0.03	 3.5	 3.3	 0.01
  Chronic obstructive lung disease	11.0	 9.1	 0.06	11.6	11.3	 0.01
  Crohn's disease	 0.9	 0.5	 0.05	 0.7	 0.9	-0.02
  Dementia	 2.7	 2.2	 0.03	 3.0	 3.2	-0.01
  Depressive disorder	39.6	17.5	 0.51	38.7	46.4	-0.16
  Diabetes mellitus	18.7	30.3	-0.27	20.8	19.3	 0.04
