	Before matching			After matching		
	Target	Comparator		Target	Comparator	
Characteristic	%	%	Std. diff	%	%	Std. diff
Age group	  	  	   	  	  	   
    0 -   4	4.6	0	0.31	2.8	3.3	-0.03
    5 -   9	6.3	0.1	0.36	4.3	5.8	-0.07
   10 -  14	1.9	0.4	0.14	2.4	1.9	0.04
   15 -  19	1.7	0.9	0.07	1.3	1.1	0.02
   20 -  24	1.6	1	0.06	0.2	0.9	-0.1
   25 -  29	1.8	1.3	0.04	1.3	0.7	0.06
   30 -  34	3.3	2.3	0.06	2.2	1.9	0.03
   35 -  39	3.4	3.7	-0.02	2	1.7	0.03
   40 -  44	5.7	5.4	0.01	3.7	2.8	0.05
   45 -  49	7.6	7.7	0	3.9	4.5	-0.03
   50 -  54	9.4	10.1	-0.03	5.2	5.2	0
   55 -  59	11.3	11.9	-0.02	5.8	6.9	-0.05
   60 -  64	9.2	11.3	-0.07	8.2	9.6	-0.05
   65 -  69	7.6	12.5	-0.16	8.3	7.2	0.04
   70 -  74	5.5	11	-0.2	7.2	10.9	-0.13
   75 -  79	8	9.1	-0.04	13.2	10.6	0.08
   80 -  84	6.2	7.3	-0.05	14.1	13.2	0.03
   85 -  89	5	4	0.05	13.9	11.9	0.06
Gender: female	65.7	69.5	-0.08	59.4	59.7	-0.01
Medical history: General	  	  	   	  	  	   
  Acute respiratory disease	47.4	42.4	0.1	40.3	44.2	-0.08
  Attention deficit hyperactivity disorder	1.7	1.8	-0.01	1.7	2	-0.03
  Chronic liver disease	2.5	3.5	-0.06	2.4	2.2	0.01
  Chronic obstructive lung disease	15.9	26.4	-0.26	23.2	25.8	-0.06
  Crohn's disease	1.6	0.9	0.06	0.7	1.9	-0.1
  Dementia	7.5	4.4	0.13	20.6	21.5	-0.02
  Depressive disorder	16.9	26.7	-0.24	21.9	22.8	-0.02
  Diabetes mellitus	16.2	32.9	-0.4	27.5	27.3	0
  Gastroesophageal reflux disease	24.7	26.7	-0.05	25.2	29.1	-0.09
  Gastrointestinal hemorrhage	6	5.2	0.04	7.6	8	-0.01
  Human immunodeficiency virus infection	0.2	0.4	-0.04	  	0.2	   
