	Before matching			After matching		
	Target	Comparator		Target	Comparator	
Characteristic	%	%	Std. diff	%	%	Std. diff
Age group	  	  	   	  	  	   
   -5 -  -1	 0.0	 0.0	 0.00	  	  	   
    0 -   4	 4.3	 0.0	 0.29	 3.3	 2.5	 0.05
    5 -   9	 6.6	 0.2	 0.36	 7.5	 4.8	 0.11
   10 -  14	 3.7	 0.9	 0.19	 3.5	 2.7	 0.05
   15 -  19	 4.3	 2.5	 0.10	 1.7	 1.2	 0.04
   20 -  24	 4.5	 3.0	 0.08	 1.3	 1.4	 0.00
   25 -  29	 5.5	 4.0	 0.07	 1.8	 1.6	 0.01
   30 -  34	 6.3	 5.4	 0.04	 2.3	 2.5	-0.01
   35 -  39	 7.1	 6.7	 0.02	 2.8	 2.4	 0.03
   40 -  44	 7.7	 7.9	-0.01	 3.4	 2.7	 0.04
   45 -  49	 8.0	 9.1	-0.04	 4.1	 3.2	 0.05
   50 -  54	 8.0	10.0	-0.07	 4.9	 4.7	 0.01
   55 -  59	 7.8	 9.9	-0.07	 6.0	 5.2	 0.04
   60 -  64	 6.8	 8.7	-0.07	 7.3	 6.7	 0.02
   65 -  69	 4.2	 9.5	-0.21	 6.9	 7.5	-0.03
   70 -  74	 3.4	 8.0	-0.20	 7.3	 7.9	-0.02
   75 -  79	 4.6	 6.6	-0.09	11.6	12.9	-0.04
   80 -  84	 3.6	 5.0	-0.07	11.9	14.2	-0.07
   85 -  89	 3.6	 2.5	 0.06	12.4	15.9	-0.10
Gender: female	57.5	63.2	-0.12	52.9	52.0	 0.02
Medical history: General	  	  	   	  	  	   
  Acute respiratory disease	34.4	30.4	 0.09	26.7	29.0	-0.05
  Attention deficit hyperactivity disorder	 1.5	 2.1	-0.04	 1.5	 1.7	-0.01
  Chronic liver disease	 1.5	 2.2	-0.05	 1.5	 1.4	 0.01
  Chronic obstructive lung disease	 4.4	 8.3	-0.16	10.8	15.7	-0.14
  Crohn's disease	 0.6	 0.7	-0.01	 0.5	 0.5	 0.00
  Dementia	 4.4	 2.0	 0.13	15.4	20.2	-0.13
