Drug Name	DrugBankID	False Positive DME	PathFX Phenotype	PathFX Phen. CUI	Corrected P-value	Network genes assoc to phen	
tinzaparin	DB06822	Sepsis	Sepsis	C0243026	7.25400106639e-05	C3,C3AR1,PNOC,APP,F2,C5AR1,CCR2,KNG1,CXCR2,FPR2,S1PR3,SST,CXCL8,SAA1,CXCL2,CXCR4,POMC,C5,CXCL12,AGTR2,ADRA2A,CCL5	
tinzaparin	DB06822	Pancreatitis	Hereditary pancreatitis	C0238339	0.000112600303526	CCR6,CCL28,CXCR3,CXCL10,CXCL1,CXCR2,CXCR1,GNAI2,CXCL8,CXCR4,CXCL6,CXCL5,CASR,CXCL12,CCL20	
tinzaparin	DB06822	Tardive dyskinesia	Tardive Dyskinesia	C0686347	0.000127853783456	MTNR1B,DRD4,HTR1F,DRD3,MTNR1A,CNR1	
tinzaparin	DB06822	Myopathy	Inclusion Body Myopathy, Sporadic	C0751713	0.000174108576935	CXCR3,CXCL10,CXCL11,CXCL9	
tiotropium	DB01409	Pancreatitis	Hereditary pancreatitis	C0238339	8.12814402965e-05	CXCL6,CXCL12,CCL28,CXCR3,GCG,CXCR1,TACR3,CXCL8,EGFR,TACR2,CXCL1,TAC1,EGF,EDN1,NTS,CXCR2,CASR,CCKBR,CCR6,GNAI2,CXCL5,CCL20,CXCR4,MGST1,CXCL10,P2RY6,ADRB2,NTSR1,GAST,SYT1,TACR1,F2RL1	
tiotropium	DB01409	Sepsis	Sepsis	C0243026	7.59861843301e-05	GAL,SST,P2RY2,CXCL12,P2RY1,AGTR2,CCL5,CXCL2,GRP,F2R,CXCL8,KNG1,LTB4R,AGT,S1PR3,FPR2,TFRC,EDN1,POMC,F2,NTS,C5,CXCR2,AAK1,CCR2,ADRA2A,EDN3,ADRA1D,CXCR4,ADRB2,SAA1,C3,WNT5A,C3AR1,GAST,PNOC,GRPR,C5AR1,SYT1,EDNRB,APP	
tiotropium	DB01409	Myocardial infarction	Myocardial Infarction	C0027051	8.73571691854e-05	P2RY2,CXCL6,ADRA2B,CXCL12,P2RY12,BDKRB1,CHRM2,CCR1,TF,GCG,UTS2,AGTR2,CCL5,F2R,CXCL8,CYP3A4,CXCR5,KNG1,DAB2,AGT,LDLR,EDNRA,ADORA1,EDN1,F2,CCR5,CCR3,CASR,CCR2,CNR1,OPRD1,CYP2D6,OPRK1,AVPR1A,ADORA3,ADRA1D,P2RY11,CXCL10,IGF2R,ADRB2,HTR1D,LDLRAP1,BDKRB2,C3,GHSR,TAS2R50,GRM8,VAMP8,APOB,GHRL,EDNRB,UTS2R,F2RL1,NPY,EDN2	
tiotropium	DB01409	Gastric ulcer	Gastric ulcer	C0038358	9.37573065233e-05	SST,OXTR,CCK,BDKRB1,CXCL8,EGFR,EGF,EDN1,CYP2D6,OXT,BDKRB2,HRH3,GAST,GHRL	
tiotropium	DB01409	Tardive dyskinesia	Tardive Dyskinesia	C0686347	9.8186366479e-05	MTNR1B,DRD4,ARRB2,F2R,CYP3A4,DRD3,MTNR1A,CNR1,CYP2D6,HTR1F	
tiotropium	DB01409	Hyperlipidemia	Hyperlipidemia, combined, 1	C0020473	0.000118042728514	GAL,GCG,AGTR2,CCL5,CYP3A4,AGT,LDLR,F2,CCR5,LRP2,CCR2,CNR1,CYP2D6,ADRB2,LDLRAP1,SAA1,C3,CCR7,TRH,APOB,NPY	
tiotropium	DB01409	Myocardial infarction	Acute myocardial infarction	C0155626	0.000162653645057	ADRA2B,CXCL12,P2RY12,CHRM2,GCG,CXCL8,AGT,EDNRA,PIK3C2A,EDN1,F2,CCL21,CYP2D6,P2RY11,CXCR4,APOB	
tiotropium	DB01409	Pancreatitis	Pancreatitis	C0030305	0.000198982835346	SST,CNR2,CCK,PPY,CCR1,TF,CCL5,CXCL8,AP2S1,EDNRA,EDN1,CASR,CNR1,CD4,BDKRB2,GHRL,TACR1	
tiotropium	DB01409	Cerebral infarction	Ischaemic cerebral infarction	C0007785	0.00014347937484	P2RY2,CXCL12,CCL5,F2R,CXCL8,CYP3A4,AGT,PTGER1,LDLR,ADORA1,F2,CXCR4,ANXA1,F2RL3,APOB,EDNRB,NPY	
tiotropium	DB01409	Cerebral infarction	Infarction, Middle Cerebral Artery	C0740392	0.000187166181831	CXCR3,CXCL2,AGT,ADORA1,EDN1,C3,GHSR,GHRL	
tiotropium	DB01409	Hemorrhage	Subarachnoid hemorrhage	C0038525	0.000204871841483	CXCL12,CYP3A4,AGT,CXCL1,ADORA1,EDN1,F2,HTR1B,CCL20,BIN1,ADRB2,EDNRB,TACR1,DNAJC6	
olaparib	DB09074	Myopathy	Peripheral neuropathy, myopathy, hoarseness, and hearing loss	C0031117	0.000115846933161	PARP1,GTF2H1,DDB2,CUL4B,XPC,PARP2,ERCC3,XPA,ERCC2,ERCC4,CYP3A4	
olaparib	DB09074	Stevens-Johnson Syndrome	Stevens-Johnson Syndrome	C0038325	0.000105652783518	PARP1,RBX1,CUL4A,CYP2B6	
olaratumab	DB06043	Gastric ulcer	Gastric ulcer	C0038358	0.00018991416309	PDGFRA,FGFR2,NRG1,SOS1,FGF2,PDGFRB,FGFR1,HGF,PDGFA	
olaratumab	DB06043	Hypertension	Hypertension	C0020538	0.000166153846154	CRK,PDGFB,FGFR4,FGFR3,PIK3R1,FGF1,FGFR2,KLB,FRS2,FGF5,FGF2,PDGFRB,FGFR1,PTPN11,HGF,KL	
dronabinol	DB00470	Pneumonia	Pneumonia	C0032285	6.46111207345e-05	C5AR1,LPAR1,POMC,CXCL2,CCR9,NPW,CCR3,ADORA3,CYP1A1,CXCR2,CCR2,LPAR2,CCL5,CCL19,CCR8,C3,CXCR3,CXCL13,PF4,CXCR4,CXCL5,CXCL1,PTGS1,CXCL9,CCR6,CXCL12,KNG1,CCR1,PTGDR2,CCL20,C3AR1,CXCL8	
dronabinol	DB00470	Myocardial infarction	Myocardial Infarction	C0027051	6.99541284404e-05	CYP2C9,AGTR2,ADRA2B,BDKRB2,CCR3,ADORA3,CYP1A1,ADORA1,CCR2,CCR5,ABCB1,CCL5,CXCL6,P2RY12,C3,NPY,CXCL10,CNR1,CXCR5,BDKRB1,GRM8,PTGS1,OPRK1,OPRD1,AGT,ABCG2,CXCL12,CASR,TAS2R50,KNG1,CYP2C19,HTR1D,CCR1,CYP3A4,CXCL8	
dronabinol	DB00470	Hyperlipidemia	Hyperlipidemia, combined, 1	C0020473	0.000134241245136	CYP2C9,GAL,AGTR2,CCR2,CCR7,CCR5,ABCB1,CCL5,C3,NPY,CNR1,PTGS1,AGT,CYP2C19,SAA1,CYP3A4	
dronabinol	DB00470	Tardive dyskinesia	Tardive Dyskinesia	C0686347	0.000134538207173	MTNR1A,CNR1,MTNR1B,DRD4,HTR1F,CYP3A4,DRD3	
dronabinol	DB00470	Pneumonia	Streptococcal pneumonia	C0155862	0.000148348556388	PPBP,CCL5,C3,CXCL8	
dronabinol	DB00470	Hemorrhage	Peptic Ulcer Hemorrhage	C0041582	0.000250458715596	CYP2C9,PTGS1,AGT,CXCL8	
