Drug Name	DrugBankID	Label DME	PathFX Phenotype	PathFX Phen. CUI	Corrected P-value	Network genes assoc to phen	
tinzaparin	DB06822	Pneumonia	Pneumonia	C0032285	5.03595112033e-05	C3,CCR6,C3AR1,CXCL13,CXCR3,PF4,LPAR2,C5AR1,CCR2,KNG1,CXCL1,CXCR2,CCR1,CCR8,CXCL8,CXCL2,ADORA3,LPAR1,CCR9,CXCR4,ITGA4,POMC,CXCL9,NPW,CXCL5,CCR3,CXCL12,CCL19,PTGDR2,CCL5,CCL20	
tinzaparin	DB06822	Hypertension	Hypertension	C0020538	5.01450476585e-05	CCR6,CXCL13,CCL28,APP,BDKRB1,LPAR2,NPY1R,F2,CCR2,KNG1,CXCR6,FPR1,PDYN,SERPINC1,HTR1B,ADORA1,SSTR4,ACKR3,DRD3,SUCNR1,GNAI2,NPY2R,GABBR1,APLN,SST,CXCL8,SAA1,CXCL2,ADRA2C,LPAR1,CCR5,APLNR,CCL21,GPER1,OPRD1,POMC,HRH3,ANXA1,CASR,BDKRB2,ADRA2B,OPRM1,CNR1,AGTR2,PPBP,ADRA2A	
tinzaparin	DB06822	Myocardial infarction	Myocardial Infarction	C0027051	6.90230237875e-05	C3,BDKRB1,F2,CCR2,CHRM2,KNG1,CXCL10,P2RY12,SERPINC1,CCR1,ADORA1,TAS2R50,CXCL8,OPRK1,ADORA3,CCR5,GRM8,OPRD1,CXCR5,CXCL6,CCR3,CASR,BDKRB2,CXCL12,ADRA2B,HTR1D,CNR1,AGTR2,CCL5	
tinzaparin	DB06822	Hypertension	genetic hypertension	C0598428	8.60029571217e-05	LPAR2,CXCR6,SSTR4,ACKR3,ADRA2B	
tinzaparin	DB06822	Hypertension	Primary pulmonary hypertension	C0152171	0.000158734619137	BDKRB1,KNG1,HTR1B,CCR1,CCR5,APLNR,CXCR4,BDKRB2,CXCL12,CCR7,CCL5	
tinzaparin	DB06822	Hypertension	Pulmonary arterial hypertension	C3203102	0.000183112261404	CCR6,BDKRB1,KNG1,HTR1B,CCR1,CCR5,APLNR,CXCR4,BDKRB2,CXCL12,CCR7,CCL5	
tinzaparin	DB06822	Pneumonia	Pneumocystis jiroveci pneumonia	C1535939	0.000111445783133	C3,CXCL10,CXCR6,CXCL8,CCR5,CXCR4	
tinzaparin	DB06822	Pneumonia	Streptococcal pneumonia	C0155862	0.000156014580802	C3,CXCL8,PPBP,CCL5	
tinzaparin	DB06822	Pneumonia	Pneumonia, Bacterial	C0004626	1	F2,CXCL1,CXCL2	
famotidine	DB00927	Hypertension	Essential hypertension	C0085580	6.35802469136e-05	FSHR,VIP,CALCRL,GNAS,GCGR,CALCA,PTH,ADRB1,ADRB3,POMC,ADM	
famotidine	DB00927	Hypertension	Hypertension	C0020538	5.01450476585e-05	RAMP1,FSHR,GPR83,HTR4,ADORA2B,CRHR1,CALCRL,GNAS,GCGR,PTGER4,MC2R,SLC22A2,LHB,RAMP2,CALCA,MC3R,CYP2C19,GCG,PTH,IAPP,ADRB1,ADRB3,POMC,ADM	
tiotropium	DB01409	Hypertension	genetic hypertension	C0598428	6.85213982579e-05	ADRA2B,AGT,SSTR4,LPAR2,EDNRA,EDN1,CYSLTR2,ACKR3,CXCR6,ADRA1A	
tiotropium	DB01409	Pneumonia	Pneumonia	C0032285	6.10375912504e-05	CXCL12,TRIP10,CCR1,CXCR3,CCL5,CXCL2,PTAFR,F2R,CXCL8,KNG1,NPW,LPAR1,LTB4R,CCR9,EGFR,CXCL1,TAC1,LPAR2,POMC,CCR8,CXCR2,CCR3,CCR2,CCR6,CXCL5,ADORA3,CCL20,CXCR4,PF4,IGF2R,ADRB2,C3,CXCL9,C3AR1,CCL19,CXCL13,C5AR1,CYSLTR1,PTGDR2,F2RL1	
tiotropium	DB01409	Hypertension	Essential hypertension	C0085580	7.21181717905e-05	P2RY2,ADRA2B,BDKRB1,GCGR,UTS2,AGTR2,KNG1,LPAR1,AGT,APLNR,LDLR,LPAR2,EDNRA,ADORA1,EDN1,POMC,TRHR,ADRA1B,GNAI2,CYP2D6,AVPR1A,ADRA1D,PTGFR,ADRB2,BDKRB2,DNM2,APOB,NPY,ADRA1A,EDN2	
tiotropium	DB01409	Hypertension	Hypertension	C0020538	5.23364485981e-05	SCARB2,GAL,SST,P2RY2,XCL1,OXTR,GPER1,ADRA2B,BDKRB1,CCL28,GCGR,KISS1,GCG,UTS2,AGTR2,CXCL2,AVPR2,PDYN,F2R,TACR3,CXCL8,SLC22A5,CYP3A4,KNG1,LPAR1,GNRH1,PPBP,AGT,SSTR4,HTR2B,APLNR,EGFR,PTGER1,LDLR,DRD3,GABBR1,CHRM3,LPAR2,EGF,EDNRA,ADORA1,GNA14,EDN1,HGS,POMC,F2,NTS,CCR5,CASR,HTR1B,LRP2,CCL21,SUCNR1,CCR2,CYSLTR2,ADRA2A,EDN3,CCR6,TRHR,CNR1,ADRA1B,GNAI2,FPR1,OPRD1,CYP2D6,AVPR1A,ADRA1D,ACKR3,NPY1R,NPY2R,OXT,ADRA2C,ADRB2,LDLRAP1,SAA1,AVP,MGST3,BDKRB2,GHSR,CXCR6,HRH3,ANXA1,PYY,DNM2,CXCL13,TRH,M6PR,APOB,SLC22A4,GHRL,EDNRB,UTS2R,TACR1,APP,APLN,TAC3,NPY,ADRA1A,EDN2	
tiotropium	DB01409	Hypertension	Pulmonary hypertension, neonatal, susceptibility to	C0020542	0.000134372789038	CXCR1,UTS2,CCL5,CXCL8,AGT,HTR2B,APLNR,TACR2,TAC1,EGF,EDNRA,EDN1,F2,CXCR2,CASR,HTR1B,UTS2B,BDKRB2,CCR7,DNM2,CYSLTR1,NPS,EDNRB,TACR1,F2RL1,NPY	
tiotropium	DB01409	Hypertension	Primary pulmonary hypertension	C0152171	0.000119327531585	CXCL12,BDKRB1,CCR1,CCL5,F2R,KNG1,HTR2B,APLNR,EGF,EDNRA,EDN1,CCR5,HTR1B,CXCR4,BDKRB2,CCR7,NPS,EDNRB,F2RL1	
tiotropium	DB01409	Hypertension	Pulmonary arterial hypertension	C3203102	0.000126338191361	SCARB2,CXCL12,BDKRB1,CCR1,CCL5,F2R,KNG1,HTR2B,APLNR,EGF,EDNRA,EDN1,CCR5,HTR1B,CCR6,CXCR4,BDKRB2,CCR7,NPS,EDNRB,F2RL1	
tiotropium	DB01409	Pneumonia	Streptococcal pneumonia	C0155862	0.000141652355345	TRIP10,CCL5,PTAFR,CXCL8,PPBP,C3	
tiotropium	DB01409	Pneumonia	Lobar Pneumonia	C0032300	0.00024717537478	TRIP10,CCL5,PTAFR,PPBP	
tiotropium	DB01409	Hypertension	Ocular Hypertension	C0028840	0.000187514613047	CYP2D6,PTGFR,C3,GHSR,EDNRB	
