drug1	drug2	DME	TWOSIDES condition name	PRR	PRR error	mean reporting freq	
aripiprazole	ambrisentan	hypertension	pulmonary arterial hypertension	5.0	1.20416	0.0454545	
dronabinol	gabapentin	myocardial infarction	myocardial infarction	1.08108	0.519923	0.0243902	
aspirin	ibuprofen	myocardial infarction	acute myocardial infarction	5.72368	0.13385	0.012457	
aspirin	ibuprofen	myocardial infarction	myocardial infarction	2.14841	0.0619571	0.0435281	
aspirin	ibuprofen	myocardial infarction	silent myocardial infarction	1.42857	0.755825	0.000286369	
losartan	ambrisentan	hypertension	pulmonary arterial hypertension	40.0	1.1162	0.0148699	
losartan	ambrisentan	hypertension	pulmonary hypertension	20.0	0.609024	0.0297398	
losartan	ambrisentan	hypertension	hypertension	0.833333	0.733197	0.00743494	
aspirin	escitalopram	myocardial infarction	acute myocardial infarction	3.70787	0.203079	0.00893341	
aspirin	escitalopram	myocardial infarction	myocardial infarction	1.44531	0.100067	0.0300487	
hydrochlorothiazide	cabergoline	hypertension	hypertension	7.5	0.745542	0.075	
clopidogrel	mirtazapine	myocardial infarction	acute myocardial infarction	4.78261	0.364233	0.0172144	
clopidogrel	mirtazapine	myocardial infarction	myocardial infarction	2.55814	0.190614	0.0516432	
ambrisentan	midodrine	hypertension	hypertension	10.0	1.40074	0.0344828	
atropine	carvedilol	sepsis	sepsis	13.3333	0.750052	0.0754717	
atropine	clonidine	sepsis	sepsis	5.0	0.689991	0.0652174	
aspirin	apomorphine	myocardial infarction	acute myocardial infarction	5.0	1.21771	0.015625	
aspirin	apomorphine	myocardial infarction	myocardial infarction	6.36364	0.46538	0.109375	
aspirin	doxazosin	myocardial infarction	acute myocardial infarction	3.94737	0.214824	0.00932836	
aspirin	doxazosin	myocardial infarction	myocardial infarction	1.35359	0.106034	0.0304726	
aspirin	doxazosin	myocardial infarction	silent myocardial infarction	1.66667	1.07997	0.000310945	
paroxetine	clopidogrel	myocardial infarction	acute myocardial infarction	3.75	0.389497	0.00875486	
paroxetine	clopidogrel	myocardial infarction	myocardial infarction	3.58491	0.129633	0.07393	
aspirin	amoxapine	myocardial infarction	myocardial infarction	10.0	0.681554	0.129032	
ibuprofen	alteplase	pneumonia	pneumonia	3.33333	0.792074	0.0714286	
pseudoephedrine	aspirin	myocardial infarction	acute myocardial infarction	11.0	0.434887	0.0178282	
pseudoephedrine	aspirin	myocardial infarction	myocardial infarction	2.12598	0.207673	0.0437601	
amitriptyline	cevimeline	sepsis	sepsis	5.0	1.20208	0.05	
trimipramine	clopidogrel	myocardial infarction	myocardial infarction	10.0	1.38804	0.0666667	
hydrochlorothiazide	quetiapine	hypertension	pulmonary hypertension	2.91667	0.428799	0.00416915	
hydrochlorothiazide	quetiapine	hypertension	hypertension	5.97345	0.105721	0.080405	
hydrochlorothiazide	quetiapine	hypertension	orthostatic hypertension	10.0	1.41398	0.000595593	
aspirin	metoclopramide	myocardial infarction	acute myocardial infarction	7.97101	0.179637	0.0202578	
aspirin	metoclopramide	myocardial infarction	myocardial infarction	1.80887	0.103611	0.0390424	
aspirin	metoclopramide	myocardial infarction	silent myocardial infarction	10.0	1.41407	0.000368324	
atropine	dobutamine	sepsis	sepsis	7.5	0.757065	0.0277778	
aspirin	ketoprofen	myocardial infarction	acute myocardial infarction	3.0	0.656335	0.00697674	
aspirin	ketoprofen	myocardial infarction	myocardial infarction	1.375	0.31757	0.0255814	
aspirin	ketoprofen	pancreatitis	pancreatitis	0.434783	1.02025	0.00232558	
aspirin	ketoprofen	pancreatitis	pancreatitis acute	2.0	1.09428	0.00232558	
aripiprazole	chlorpromazine	delirium	delirium	5.71429	0.625113	0.00760456	
ambrisentan	mirtazapine	hypertension	pulmonary hypertension	50.0	1.0869	0.0847458	
aspirin	trazodone	myocardial infarction	acute myocardial infarction	3.56322	0.2083	0.0102479	
aspirin	trazodone	myocardial infarction	myocardial infarction	1.58983	0.105954	0.0330578	
aspirin	trazodone	myocardial infarction	silent myocardial infarction	5.0	1.2246	0.000330579	
hydrochlorothiazide	oxymetazoline	hypertension	hypertension	2.5	1.09966	0.037037	
hydrochlorothiazide	epinephrine	myocardial infarction	acute myocardial infarction	4.28571	0.685672	0.0164835	
hydrochlorothiazide	epinephrine	myocardial infarction	myocardial infarction	0.666667	0.591195	0.0164835	
hydrochlorothiazide	epinephrine	hypertension	pulmonary arterial hypertension	10.0	1.41208	0.00549451	
hydrochlorothiazide	epinephrine	hypertension	pulmonary hypertension	4.0	0.83304	0.010989	
hydrochlorothiazide	epinephrine	hypertension	hypertension	0.810811	0.595245	0.0164835	
hydrochlorothiazide	risperidone	myocardial infarction	acute myocardial infarction	3.52941	0.47334	0.0078534	
hydrochlorothiazide	risperidone	myocardial infarction	myocardial infarction	1.19497	0.239752	0.0248691	
sucralfate	paroxetine	gastric ulcer	gastric ulcer	7.5	0.758979	0.0198676	
atropine	propranolol	sepsis	sepsis	30.0	1.13972	0.09375	
aspirin	bromocriptine	myocardial infarction	acute myocardial infarction	10.0	0.994194	0.0210526	
aspirin	bromocriptine	myocardial infarction	myocardial infarction	0.833333	0.728071	0.0210526	
aspirin	quetiapine	pancreatitis	pancreatitis	6.82759	0.129024	0.0315387	
aspirin	quetiapine	pancreatitis	pancreatitis acute	6.4	0.225609	0.0101943	
aspirin	quetiapine	pancreatitis	pancreatitis chronic	50.0	0.632178	0.00477859	
aspirin	quetiapine	pancreatitis	pancreatitis haemorrhagic	5.0	1.2246	0.000318573	
aspirin	quetiapine	pancreatitis	pancreatitis relapsing	13.3333	0.763533	0.00127429	
aspirin	leuprolide	myocardial infarction	acute myocardial infarction	6.08696	0.337479	0.0129151	
aspirin	leuprolide	myocardial infarction	myocardial infarction	1.41463	0.195821	0.0267528	
menthol	clopidogrel	myocardial infarction	myocardial infarction	20.0	0.829993	0.222222	
paroxetine	carvedilol	sepsis	staphylococcal sepsis	3.33333	1.15392	0.00163399	
paroxetine	carvedilol	sepsis	sepsis	2.38095	0.349302	0.0163399	
aspirin	dihydroergotamine	myocardial infarction	myocardial infarction	1.0	1.03805	0.0204082	
lisinopril	aliskiren	ventricular tachy	supraventricular tachycardia	2.5	0.788017	0.00732601	
lisinopril	aliskiren	ventricular tachy	ventricular tachycardia	3.33333	0.814025	0.00732601	
lisinopril	aliskiren	myocardial infarction	myocardial infarction	0.727273	0.513958	0.014652	
hydrochlorothiazide	losartan	myocardial infarction	acute myocardial infarction	3.22917	0.205895	0.00794261	
hydrochlorothiazide	losartan	myocardial infarction	myocardial infarction	1.0882	0.106724	0.0243403	
hydrochlorothiazide	losartan	myocardial infarction	silent myocardial infarction	5.0	0.865863	0.000512426	
hydrochlorothiazide	losartan	hypertension	portal hypertension	3.33333	0.816324	0.000512426	
hydrochlorothiazide	losartan	hypertension	pulmonary hypertension	4.0	0.264042	0.00512426	
hydrochlorothiazide	losartan	hypertension	accelerated hypertension	3.33333	1.15458	0.000256213	
hydrochlorothiazide	losartan	hypertension	malignant hypertension	3.33333	1.15458	0.000256213	
hydrochlorothiazide	losartan	hypertension	essential hypertension	10.0	0.577106	0.00153728	
hydrochlorothiazide	losartan	hypertension	hypertension	3.71369	0.0859037	0.0458622	
hydrochlorothiazide	losartan	hypertension	labile hypertension	10.0	1.41411	0.000256213	
ropinirole	carvedilol	sepsis	sepsis	3.52941	0.470276	0.023622	
tramadol	cinacalcet	pancreatitis	pancreatitis	2.5	1.11243	0.0113636	
valsartan	cinacalcet	pancreatitis	pancreatitis	0.833333	1.03753	0.00625	
ergotamine	hydrochlorothiazide	hypertension	hypertension	6.66667	0.883715	0.0952381	
hydrochlorothiazide	valsartan	myocardial infarction	acute myocardial infarction	2.48	0.200157	0.00550035	
hydrochlorothiazide	valsartan	myocardial infarction	myocardial infarction	1.3805	0.0831723	0.0283889	
aspirin	danazol	myocardial infarction	acute myocardial infarction	20.0	1.21698	0.0344828	
aspirin	danazol	myocardial infarction	myocardial infarction	1.42857	0.743279	0.0344828	
aspirin	phenylephrine	myocardial infarction	acute myocardial infarction	2.0	0.77266	0.00544959	
aspirin	phenylephrine	myocardial infarction	myocardial infarction	3.89831	0.239646	0.0626703	
paroxetine	amitriptyline	sepsis	neutropenic sepsis	2.5	1.11762	0.000835422	
paroxetine	amitriptyline	sepsis	staphylococcal sepsis	2.5	1.11762	0.000835422	
paroxetine	amitriptyline	sepsis	sepsis	2.11268	0.282546	0.0125313	
hydrochlorothiazide	paliperidone	hypertension	hypertension	3.33333	0.804592	0.0350877	
tetracycline	levothyroxine	neuropathy	diabetic neuropathy	5.0	1.21957	0.0114943	
tetracycline	levothyroxine	neuropathy	neuropathy peripheral	5.0	0.858695	0.0229885	
hydrochlorothiazide	bromocriptine	myocardial infarction	myocardial infarction	2.5	1.09895	0.0384615	
quetiapine	ambrisentan	hypertension	pulmonary hypertension	10.0	0.989157	0.0392157	
trastuzumab	carvedilol	neuropathy	neuropathy peripheral	10.0	0.991502	0.0307692	
aspirin	clonidine	myocardial infarction	acute myocardial infarction	7.58065	0.192451	0.0157401	
aspirin	clonidine	myocardial infarction	myocardial infarction	2.8278	0.0824499	0.0599464	
aspirin	clonidine	pancreatitis	pancreatitis	2.29167	0.192039	0.0110516	
aspirin	clonidine	pancreatitis	pancreatitis acute	2.2	0.332477	0.00368386	
aspirin	clonidine	pancreatitis	pancreatitis chronic	8.0	0.670546	0.00133958	
aspirin	clonidine	pancreatitis	pancreatitis necrotising	3.33333	1.15454	0.000334896	
valsartan	caffeine	myocardial infarction	myocardial infarction	1.66667	0.752773	0.030303	
aspirin	paroxetine	myocardial infarction	acute myocardial infarction	3.88235	0.204322	0.00960699	
aspirin	paroxetine	myocardial infarction	myocardial infarction	2.23611	0.085322	0.0468705	
aspirin	paroxetine	myocardial infarction	silent myocardial infarction	15.0	0.912696	0.000873362	
aspirin	paroxetine	pancreatitis	pancreatitis	3.23944	0.168704	0.0133916	
aspirin	paroxetine	pancreatitis	pancreatitis acute	5.2	0.241125	0.00756914	
aspirin	paroxetine	pancreatitis	pancreatitis chronic	6.25	0.569807	0.0014556	
aspirin	paroxetine	pancreatitis	pancreatitis necrotising	7.5	0.763553	0.000873362	
cetirizine	ambrisentan	hypertension	pulmonary arterial hypertension	4.0	0.831985	0.0141844	
cetirizine	ambrisentan	hypertension	pulmonary hypertension	50.0	1.09188	0.035461	
cetirizine	ambrisentan	hypertension	hypertension	0.769231	1.03398	0.0070922	
aspirin	flurbiprofen	myocardial infarction	acute myocardial infarction	10.0	1.41054	0.00943396	
aspirin	flurbiprofen	myocardial infarction	myocardial infarction	0.322581	1.01088	0.00943396	
ramipril	aliskiren	myocardial infarction	acute myocardial infarction	5.45455	0.503807	0.0204778	
ramipril	aliskiren	myocardial infarction	myocardial infarction	1.23077	0.369635	0.0273038	
ramipril	aliskiren	proteinuria	proteinuria	20.0	1.22321	0.00682594	
eletriptan	clopidogrel	myocardial infarction	myocardial infarction	20.0	0.819407	0.285714	
albuterol	paroxetine	sepsis	staphylococcal sepsis	2.5	1.11776	0.000562746	
albuterol	paroxetine	sepsis	sepsis	1.72414	0.240835	0.0112549	
albuterol	paroxetine	sepsis	urosepsis	10.0	0.816117	0.00168824	
hydrochlorothiazide	doxazosin	myocardial infarction	acute myocardial infarction	5.29412	0.410758	0.00992282	
hydrochlorothiazide	doxazosin	myocardial infarction	myocardial infarction	1.25	0.213687	0.0264609	
aspirin	sulindac	myocardial infarction	acute myocardial infarction	5.0	1.22181	0.00653595	
aspirin	sulindac	myocardial infarction	myocardial infarction	1.38889	0.469668	0.0326797	
aspirin	sulindac	pancreatitis	pancreatitis	2.72727	0.645796	0.0196078	
bivalirudin	heparin	myocardial infarction	acute myocardial infarction	16.0	0.398539	0.0533333	
bivalirudin	heparin	myocardial infarction	myocardial infarction	4.1791	0.216733	0.0933333	
aspirin	aripiprazole	myocardial infarction	acute myocardial infarction	2.6087	0.457131	0.00641711	
aspirin	aripiprazole	myocardial infarction	myocardial infarction	1.5942	0.184276	0.0352941	
aspirin	aripiprazole	pancreatitis	pancreatitis	7.56757	0.248123	0.0299465	
aspirin	aripiprazole	pancreatitis	pancreatitis acute	12.1053	0.308113	0.0245989	
aspirin	aripiprazole	pancreatitis	pancreatitis chronic	20.0	0.706274	0.00641711	
aspirin	aripiprazole	pancreatitis	pancreatitis relapsing	20.0	1.22426	0.00213904	
naloxone	clopidogrel	myocardial infarction	myocardial infarction	15.0	0.883715	0.142857	
levodopa	clopidogrel	myocardial infarction	acute myocardial infarction	30.0	0.814307	0.0194805	
levodopa	clopidogrel	myocardial infarction	myocardial infarction	1.5493	0.318468	0.0357143	
sulindac	levothyroxine	neuropathy	autonomic neuropathy	10.0	1.41162	0.00666667	
aspirin	naproxen	myocardial infarction	acute myocardial infarction	3.27434	0.188785	0.00796384	
aspirin	naproxen	myocardial infarction	myocardial infarction	2.02944	0.0774345	0.0415411	
aspirin	naproxen	myocardial infarction	silent myocardial infarction	6.66667	0.645314	0.000860956	
aspirin	telmisartan	edema	lymphoedema	1.66667	1.07991	0.000415455	
aspirin	telmisartan	myocardial infarction	acute myocardial infarction	2.61538	0.271572	0.00706273	
aspirin	telmisartan	myocardial infarction	myocardial infarction	1.64609	0.118746	0.0332364	
aspirin	telmisartan	edema	localised oedema	2.5	0.79028	0.00083091	
aspirin	telmisartan	edema	oedema peripheral	1.9573	0.145889	0.02285	
aspirin	telmisartan	edema	acute pulmonary oedema	2.0	0.774302	0.00083091	
aspirin	telmisartan	edema	pulmonary oedema	2.38806	0.277432	0.00664728	
aspirin	telmisartan	edema	corneal oedema	2.0	1.09524	0.000415455	
aspirin	telmisartan	edema	eyelid oedema	2.0	0.547305	0.00166182	
aspirin	telmisartan	edema	periorbital oedema	1.66667	0.763463	0.00083091	
aspirin	telmisartan	edema	gastrointestinal oedema	2.5	1.11783	0.000415455	
aspirin	telmisartan	edema	lip oedema	4.28571	0.689734	0.00124636	
aspirin	telmisartan	edema	oedema mouth	0.833333	1.04061	0.000415455	
aspirin	telmisartan	edema	face oedema	2.36842	0.370094	0.00373909	
aspirin	telmisartan	edema	generalised oedema	4.58333	0.363481	0.00457	
aspirin	telmisartan	edema	gravitational oedema	5.0	1.22456	0.000415455	
aspirin	telmisartan	edema	oedema	3.5	0.218534	0.0116327	
aspirin	telmisartan	edema	angioedema	2.18182	0.317896	0.00498546	
aspirin	telmisartan	edema	laryngeal oedema	0.769231	1.03753	0.000415455	
aspirin	telmisartan	edema	angioneurotic oedema	1.11111	1.05388	0.000415455	
aspirin	telmisartan	edema	brain oedema	2.14286	0.63585	0.00124636	
aspirin	telmisartan	edema	nasal oedema	3.33333	1.1545	0.000415455	
aspirin	telmisartan	edema	pharyngeal oedema	1.21951	0.473216	0.00207727	
aspirin	telmisartan	edema	skin oedema	10.0	1.41405	0.000415455	
aspirin	disopyramide	myocardial infarction	acute myocardial infarction	3.33333	1.1517	0.00628931	
aspirin	disopyramide	myocardial infarction	myocardial infarction	1.66667	0.433043	0.0377358	
aspirin	diclofenac	myocardial infarction	acute myocardial infarction	2.70588	0.234234	0.00789022	
aspirin	diclofenac	myocardial infarction	myocardial infarction	1.0935	0.1253	0.0236707	
aspirin	diclofenac	myocardial infarction	silent myocardial infarction	5.0	1.22459	0.000343053	
aspirin	thalidomide	pancreatitis	pancreatitis	0.652174	0.59496	0.00298805	
aspirin	thalidomide	pancreatitis	pancreatitis acute	0.37037	1.01781	0.000996016	
aspirin	erythromycin	pancreatitis	pancreatitis	1.11111	0.60683	0.00580271	
aspirin	erythromycin	pancreatitis	pancreatitis acute	0.769231	1.03672	0.00193424	
clonidine	ambrisentan	hypertension	pulmonary arterial hypertension	2.5	1.11464	0.00689655	
clonidine	ambrisentan	hypertension	pulmonary hypertension	5.0	0.701722	0.0206897	
clonidine	ambrisentan	hypertension	hypertension	2.5	0.639594	0.0206897	
cinacalcet	citalopram	pancreatitis	pancreatitis	2.5	1.1098	0.0166667	
aspirin	prazosin	pancreatitis	pancreatitis	1.66667	0.76112	0.00732601	
aspirin	prazosin	pancreatitis	pancreatitis acute	2.22222	0.779155	0.00732601	
hydrochlorothiazide	repaglinide	myocardial infarction	acute myocardial infarction	4.28571	0.686778	0.0123457	
hydrochlorothiazide	repaglinide	myocardial infarction	myocardial infarction	1.63265	0.375342	0.0329218	
probenecid	levothyroxine	neuropathy	neuropathy peripheral	2.5	1.10937	0.0175439	
hydrochlorothiazide	nefazodone	hypertension	hypertension	27.5	0.572412	0.13253	
olanzapine	aspirin	myocardial infarction	acute myocardial infarction	6.92308	0.305358	0.0126582	
olanzapine	aspirin	myocardial infarction	myocardial infarction	2.26837	0.128475	0.0499297	
olanzapine	aspirin	pancreatitis	alcoholic pancreatitis	40.0	1.11769	0.00281294	
olanzapine	aspirin	pancreatitis	pancreatitis	8.23529	0.178296	0.0393812	
olanzapine	aspirin	pancreatitis	pancreatitis acute	4.64286	0.33446	0.00914205	
olanzapine	aspirin	pancreatitis	pancreatitis chronic	25.0	0.836198	0.00351617	
candesartan	aspirin	myocardial infarction	acute myocardial infarction	4.78992	0.160382	0.0116564	
candesartan	aspirin	myocardial infarction	myocardial infarction	1.43984	0.0872385	0.0298569	
candesartan	aspirin	myocardial infarction	silent myocardial infarction	2.0	1.09534	0.000204499	
aspirin	losartan	myocardial infarction	acute myocardial infarction	4.63855	0.137332	0.0105639	
aspirin	losartan	myocardial infarction	myocardial infarction	2.1794	0.0596852	0.0449993	
aspirin	losartan	myocardial infarction	silent myocardial infarction	1.42857	1.06897	0.000137193	
aspirin	pilocarpine	myocardial infarction	acute myocardial infarction	6.0	0.726124	0.0165746	
aspirin	pilocarpine	myocardial infarction	myocardial infarction	0.681818	0.591594	0.0165746	
paroxetine	ambrisentan	hypertension	pulmonary arterial hypertension	20.0	1.22134	0.0151515	
paroxetine	ambrisentan	hypertension	pulmonary hypertension	60.0	1.07626	0.0454545	
goserelin	carvedilol	sepsis	sepsis	10.0	0.986494	0.0487805	
aspirin	desipramine	myocardial infarction	myocardial infarction	4.0	0.575356	0.0689655	
adenosine	clopidogrel	myocardial infarction	myocardial infarction	4.28571	0.672894	0.0638298	
