rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
57	Inflammation	C0021368	23	647	5.14566167453e-12	2.0577617328519856e-05	AGT,F2R,HTR2A,LTB4R,GAST,KNG1,HRH1,APP,EDN1,TAC1,GHRL,OXT,BDKRB1,TACR1,NPFF,EDN2,SAA1,PTGFR,CCK,F2RL1,TACR3,F2,BDKRB2
58	Anosmia	C0003126	8	45	1.18908216606e-11	2.0938628158844766e-05	KISS1R,PROK2,GNRHR,TAC3,PROKR2,KISS1,GNRH1,TACR3
59	Pain	C0030193	27	628	1.50979229119e-11	2.1299638989169676e-05	EDNRB,HTR2A,KNG1,TRH,HRH1,EDN1,TAC1,CYSLTR2,OXT,CHRM1,BDKRB1,TACR1,GNA11,EDN3,CASR,SAA1,CCK,CCKBR,ADRA1A,F2RL1,TACR3,NTSR1,GHSR,GNAQ,PROKR1,BDKRB2,HCRT
60	Mental disorders	C0004936	18	439	1.53247414758e-11	2.1660649819494583e-05	HTR2A,TRH,LPAR3,GPRC6A,TAC1,OXT,BDKRB1,TACR1,GNRHR2,GRP,GRM5,GRPR,CCK,F2RL3,HCRTR1,NTSR1,OXTR,BDKRB2
62	Adenomas, multiple colorectal, 608456 (3)	C0001430	25	975	2.17968976202e-11	2.2382671480144403e-05	AGT,EDNRB,TRHR,GAST,LPAR1,TRH,EDN1,F2RL2,ADRA1D,GHRL,UTS2,BDKRB1,GNRHR,HCRTR2,CASR,KISS1,UTS2R,CCK,CCKBR,HCRTR1,NTSR1,GHSR,EDNRA,NTS,HCRT
63	Abnormality of the pituitary gland	C0032002	26	645	2.32800445588e-11	2.2743682310469316e-05	KISS1R,AGT,HTR2A,TRHR,GAST,TRH,GCG,LPAR2,PROK2,CYSLTR2,ADRA1D,GHRL,OXT,GNRHR,GNA11,PMCH,PROKR2,KISS1,CCK,GNRH1,AVPR1B,ADRA1A,TACR3,GHSR,EDNRA,NTS
64	Alzheimer Disease	C0002395	32	1699	2.5264457193e-11	2.3104693140794223e-05	AGT,F2R,EDNRB,HTR2A,LTB4R,P2RY2,KNG1,APP,EDN1,TAC1,ADRA1D,CHRM1,UTS2B,NMU,HCRTR2,MLN,CASR,NPS,SAA1,P2RY1,GRM5,PTGFR,GRPR,ADRA1A,F2RL3,NTSR1,F2,PTGER1,EDNRA,NTS,BDKRB2,HCRT
65	Impotence	C0242350	14	126	2.61367594234e-11	2.3465703971119133e-05	KISS1R,AGT,P2RY2,EDN1,PROK2,GNRHR,TAC3,PROKR2,KISS1,P2RY1,GNRH1,TACR3,PTAFR,EDNRA
66	Decreased serum testosterone level	C0857983	8	38	2.71588307399e-11	2.3826714801444043e-05	KISS1R,PROK2,GNRHR,TAC3,PROKR2,KISS1,GNRH1,TACR3
67	Male hypogonadism	C0151721	8	38	2.71588307399e-11	2.4187725631768953e-05	KISS1R,PROK2,GNRHR,TAC3,PROKR2,KISS1,GNRH1,TACR3
68	Panic disorder syndrome 1 (2)	C0030319	14	115	2.75688361029e-11	2.454873646209386e-05	AGT,HTR2A,CCKAR,NPSR1,TACR1,NPS,GRP,GRPR,CCK,AVPR1B,CCKBR,AVPR1A,BDKRB2,HCRT
