F5	rs6025	0.8441197659611389	
TRAPPC6A	CTSC	0.8526462282435747	
TRAPPC3	STX5	0.8526462282435747	
TRAPPC1	GORASP1	0.8381680014777021	
TRAPPC6A	MCFD2	0.8526462282435747	
TRAPPC5	SEC24C	0.8549476386052599	
TRAPPC5	GOSR2	0.8526462282435747	
TRAPPC1	CTSC	0.8526462282435747	
TRAPPC5	LMAN1	0.8526462282435747	
TRAPPC1	SEC31A	0.8497082254156562	
TRAPPC4	SEC23A	0.8526462282435747	
TRAPPC6A	FOLR1	0.8526462282435747	
TRAPPC3		1	
TRAPPC1	MCFD2	0.8526462282435747	
TRAPPC1	LMAN1	0.8526462282435747	
TRAPPC4	SEC24B	0.8526462282435747	
TRAPPC3	GRIA1	0.8526462282435747	
TRAPPC6B	SERPINA1	0.8526462282435747	
TRAPPC6A	SEC31A	0.8497082254156562	
TRAPPC1	FOLR1	0.8526462282435747	
TRAPPC1	RAB1A	0.8458468054109449	
TRAPPC6B	RAB1A	0.8458468054109449	
TRAPPC6B	TMED10	0.8526462282435747	
TRAPPC6A	LMAN1	0.8526462282435747	
TRAPPC3	SEC24A	0.8526462282435747	
TRAPPC3	SEC24C	0.8549476386052599	
TRAPPC6A	SEC24C	0.8549476386052599	
TRAPPC3	COL7A1	0.8526462282435747	
TRAPPC6A	RAB1A	0.8458468054109449	
TRAPPC1	TMED2	0.8526462282435747	
TRAPPC4	TMED10	0.8526462282435747	
TRAPPC6B	SEC24B	0.8526462282435747	
TRAPPC3	TMED2	0.8526462282435747	
TRAPPC4	SEC22B	0.8526462282435747	
TRAPPC6A	TMED2	0.8526462282435747	
TRAPPC6A	SEC23A	0.8526462282435747	
TRAPPC4	FOLR1	0.8526462282435747	
TRAPPC1	COL7A1	0.8526462282435747	
TRAPPC6B	SEC24C	0.8549476386052599	
TRAPPC6B	CTSC	0.8526462282435747	
TRAPPC6B		1	
TRAPPC3	CTSZ	0.8526462282435747	
TRAPPC4	MCFD2	0.8526462282435747	
TRAPPC5	SEC24D	0.8549476386052599	
TRAPPC3	GOSR2	0.8526462282435747	
TRAPPC6A	SERPINA1	0.8526462282435747	
TRAPPC1	GRIA1	0.8526462282435747	
TRAPPC6A	COL7A1	0.8526462282435747	
TRAPPC6B	STX5	0.8526462282435747	
TRAPPC3	MCFD2	0.8526462282435747	
TRAPPC6B	FOLR1	0.8526462282435747	
TRAPPC1	SERPINA1	0.8526462282435747	
TRAPPC6B	SEC22B	0.8526462282435747	
TRAPPC4	GRIA1	0.8526462282435747	
TRAPPC6B	MCFD2	0.8526462282435747	
