Predicted Cotherapy,Relationship,dme,Drugs with labeled DME,DME pathway intermediate,Intermediate node count,PMID,Notes
Adenosine triphosphate,Activates,Cardiac Arrest,Isoflurane,AKT1,3,26528795,
Adenosine triphosphate,Activates,Cardiac Arrest,Calcium,AKT1,3,26528795,
Adenosine triphosphate,Activates,Cardiac Arrest,Chlorpromazine,AKT1,3,26528795,
Adenosine triphosphate,Activates,Cardiac Arrest,Isoflurane,AKT1,3,28974348,
Adenosine triphosphate,Activates,Cardiac Arrest,Calcium,AKT1,3,28974348,
Adenosine triphosphate,Activates,Cardiac Arrest,Chlorpromazine,AKT1,3,28974348,
Calcium,Activates,Cerebral Infarction,Cabozantinib,CALM3,1,28133009,
Calcium,Activates,Cerebral Infarction,Cabozantinib,CALM3,1,27887791,
Isoflurane,Activates,Delirium,Memantine,CALM3,1,23831083,
Nifedipine,Activates,Delirium,Memantine,CALM3,1,29284416,
Promethazine,Activates,Delirium,Memantine,CALM3,1,30040111,
Promethazine,Activates,Delirium,Memantine,CALM3,1,23631415,
"Antihemophilic factor, human recombinant",Activates,DVT,Heparin,F2,1,29266445,
"Antihemophilic factor, human recombinant",Activates,DVT,Heparin,F2,1,25575413,
"Antihemophilic factor, human recombinant",Activates,DVT,Heparin,F2,1,23076778,
Plasmin,Activates,Edema,Telmisartan,EDNRA,6,23216619,
Plasmin,Activates,Edema,Eprosartan,EDNRA,6,23216619,
Plasmin,Activates,Edema,Olmesartan,EDNRA,6,23216619,
Plasmin,Activates,Edema,Desmopressin,EDNRA,6,23216619,
Plasmin,Activates,Edema,Carvedilol,EDNRA,6,23216619,
Plasmin,Activates,Edema,Irbesartan,EDNRA,6,23216619,
Recombinant urokinase,Activates,Edema,Aminocaproic Acid,PLAU,1,24255893,
Aspirin,Activates,Gastric Ulcer,Meloxicam,TP53,5,30396089,
Aspirin,Activates,Gastric Ulcer,Nabumetone,TP53,5,30396089,
Aspirin,Activates,Gastric Ulcer,Caffeine,TP53,5,30396089,
Aspirin,Activates,Gastric Ulcer,Thalidomide,TP53,5,30396089,
Aspirin,Activates,Gastric Ulcer,Ibuprofen,TP53,5,30396089,
Aspirin,Activates,Gastric Ulcer,Meloxicam,TP53,5,30184768,
Aspirin,Activates,Gastric Ulcer,Nabumetone,TP53,5,30184768,
Aspirin,Activates,Gastric Ulcer,Caffeine,TP53,5,30184768,
Aspirin,Activates,Gastric Ulcer,Thalidomide,TP53,5,30184768,
Aspirin,Activates,Gastric Ulcer,Ibuprofen,TP53,5,30184768,
Aspirin,Activates,Gastric Ulcer,Meloxicam,TP53,5,30013459,
Aspirin,Activates,Gastric Ulcer,Nabumetone,TP53,5,30013459,
Aspirin,Activates,Gastric Ulcer,Caffeine,TP53,5,30013459,
Aspirin,Activates,Gastric Ulcer,Thalidomide,TP53,5,30013459,
Aspirin,Activates,Gastric Ulcer,Ibuprofen,TP53,5,30013459,
Aspirin,Activates,Gastric Ulcer,Meloxicam,TP53,5,30073231,
Aspirin,Activates,Gastric Ulcer,Nabumetone,TP53,5,30073231,
Aspirin,Activates,Gastric Ulcer,Caffeine,TP53,5,30073231,
Aspirin,Activates,Gastric Ulcer,Thalidomide,TP53,5,30073231,
