Predicted Cotherapy,Relationship,dme,Drugs with labeled DME,DME pathway intermediate,Intermediate node count,PMID,Notes
Recombinant urokinase,Prevents,Cerebral Infarction,Tranexamic Acid,"PLAT,PLAU",5|5,26550224,
Recombinant urokinase,Prevents,Cerebral Infarction,Tenecteplase,"PLAT,PLAU",5|5,26550224,
Recombinant urokinase,Prevents,Cerebral Infarction,Alteplase,"PLAT,PLAU",5|5,26550224,
Recombinant urokinase,Prevents,Cerebral Infarction,Reteplase,"PLAT,PLAU",5|5,26550224,
Caffeine,Prevents,Cerebral Infarction,Pramipexole,"ADORA1,PIK3CB,PIK3CA",4|1|1,23826680,
Caffeine,Prevents,Cerebral Infarction,Ziprasidone,"ADORA1,PIK3CB,PIK3CA",4|1|1,23826680,
Caffeine,Prevents,Cerebral Infarction,Cabozantinib,"ADORA1,PIK3CB,PIK3CA",4|1|1,23826680,
Isoflurane,Prevents,Cerebral Infarction,Cabozantinib,CALM3,1,26045932,
Argatroban,Prevents,Cerebral Infarction,Pramipexole,F2,2,22576008,
Argatroban,Prevents,Cerebral Infarction,Ziprasidone,F2,2,22576008,
Dexamethasone,Prevents,Cerebral Infarction,Pramipexole,ANXA1,2,28025500,
Dexamethasone,Prevents,Cerebral Infarction,Ziprasidone,ANXA1,2,28025500,
Dexamethasone,Prevents,Cerebral Infarction,Pramipexole,ANXA1,2,30092249,
Dexamethasone,Prevents,Cerebral Infarction,Ziprasidone,ANXA1,2,30092249,
Isoflurane,Prevents,Cerebral Infarction,Cabozantinib,CALM3,1,23827345,
Isoflurane,Prevents,Cerebral Infarction,Cabozantinib,CALM3,1,26645542,preconditioning has a neuroprotective effect
Isoflurane,Prevents,Cerebral Infarction,Cabozantinib,CALM3,1,23313315,
Isoflurane,Prevents,Cerebral Infarction,Cabozantinib,CALM3,1,28276488,TASK channels implicated in this mechanism
Melatonin,Prevents,Cerebral Infarction,Ziprasidone,"CALM3,MTNR1A,MTNR1B",1|1|1,30029514,
Melatonin,Prevents,Cerebral Infarction,Cabozantinib,"CALM3,MTNR1A,MTNR1B",1|1|1,30029514,
Melatonin,Prevents,Cerebral Infarction,Ziprasidone,"CALM3,MTNR1A,MTNR1B",1|1|1,28178380,
Melatonin,Prevents,Cerebral Infarction,Cabozantinib,"CALM3,MTNR1A,MTNR1B",1|1|1,28178380,
Recombinant urokinase,Prevents,Cerebral Infarction,Tranexamic Acid,"PLAT,PLAU",5|5,23596496,
Recombinant urokinase,Prevents,Cerebral Infarction,Tenecteplase,"PLAT,PLAU",5|5,23596496,
Recombinant urokinase,Prevents,Cerebral Infarction,Alteplase,"PLAT,PLAU",5|5,23596496,
Recombinant urokinase,Prevents,Cerebral Infarction,Reteplase,"PLAT,PLAU",5|5,23596496,
Calcium,Prevents,Delirium,Memantine,CALM3,1,27881118,hypocalcemia is a risk factor for post-operative delirium
Chlorpromazine,Prevents,Delirium,Pergolide,"CALM3,HRH4",1|6,29757064,
Chlorpromazine,Prevents,Delirium,Memantine,"CALM3,HRH4",1|6,29757064,
Chlorpromazine,Prevents,Delirium,Nortriptyline,"CALM3,HRH4",1|6,29757064,
Chlorpromazine,Prevents,Delirium,Quetiapine,"CALM3,HRH4",1|6,29757064,
Chlorpromazine,Prevents,Delirium,Aripiprazole,"CALM3,HRH4",1|6,29757064,
Chlorpromazine,Prevents,Delirium,Ziprasidone,"CALM3,HRH4",1|6,29757064,
Chlorpromazine,Prevents,Delirium,Imipramine,"CALM3,HRH4",1|6,29757064,
Chlorpromazine,Prevcents,Delirium,Pergolide,"CALM3,HRH4",1|6,30259395,probably has a sedative effect
Chlorpromazine,Prevcents,Delirium,Memantine,"CALM3,HRH4",1|6,30259395,probably has a sedative effect
Chlorpromazine,Prevcents,Delirium,Nortriptyline,"CALM3,HRH4",1|6,30259395,probably has a sedative effect
Chlorpromazine,Prevcents,Delirium,Quetiapine,"CALM3,HRH4",1|6,30259395,probably has a sedative effect
Chlorpromazine,Prevcents,Delirium,Aripiprazole,"CALM3,HRH4",1|6,30259395,probably has a sedative effect
Chlorpromazine,Prevcents,Delirium,Ziprasidone,"CALM3,HRH4",1|6,30259395,probably has a sedative effect
Chlorpromazine,Prevcents,Delirium,Imipramine,"CALM3,HRH4",1|6,30259395,probably has a sedative effect
Melatonin,Prevents,Delirium,Pergolide,"CALM3,MTNR1A,MTNR1B",1|6|6,29565512,during acute organophosphorus pesticide poisoning induced delirium
Melatonin,Prevents,Delirium,Memantine,"CALM3,MTNR1A,MTNR1B",1|6|6,29565512,during acute organophosphorus pesticide poisoning induced delirium
Melatonin,Prevents,Delirium,Nortriptyline,"CALM3,MTNR1A,MTNR1B",1|6|6,29565512,during acute organophosphorus pesticide poisoning induced delirium
Melatonin,Prevents,Delirium,Quetiapine,"CALM3,MTNR1A,MTNR1B",1|6|6,29565512,during acute organophosphorus pesticide poisoning induced delirium
Melatonin,Prevents,Delirium,Aripiprazole,"CALM3,MTNR1A,MTNR1B",1|6|6,29565512,during acute organophosphorus pesticide poisoning induced delirium
Melatonin,Prevents,Delirium,Ziprasidone,"CALM3,MTNR1A,MTNR1B",1|6|6,29565512,during acute organophosphorus pesticide poisoning induced delirium
Melatonin,Prevents,Delirium,Imipramine,"CALM3,MTNR1A,MTNR1B",1|6|6,29565512,during acute organophosphorus pesticide poisoning induced delirium
Melatonin,Prevents,Delirium,Pergolide,"CALM3,MTNR1A,MTNR1B",1|6|6,29595562,"Ramelteon, a meltaonin agonist reduced duration of delirium"
Melatonin,Prevents,Delirium,Memantine,"CALM3,MTNR1A,MTNR1B",1|6|6,29595562,"Ramelteon, a meltaonin agonist reduced duration of delirium"
Melatonin,Prevents,Delirium,Nortriptyline,"CALM3,MTNR1A,MTNR1B",1|6|6,29595562,"Ramelteon, a meltaonin agonist reduced duration of delirium"
Melatonin,Prevents,Delirium,Quetiapine,"CALM3,MTNR1A,MTNR1B",1|6|6,29595562,"Ramelteon, a meltaonin agonist reduced duration of delirium"
Melatonin,Prevents,Delirium,Aripiprazole,"CALM3,MTNR1A,MTNR1B",1|6|6,29595562,"Ramelteon, a meltaonin agonist reduced duration of delirium"
Melatonin,Prevents,Delirium,Ziprasidone,"CALM3,MTNR1A,MTNR1B",1|6|6,29595562,"Ramelteon, a meltaonin agonist reduced duration of delirium"
Melatonin,Prevents,Delirium,Imipramine,"CALM3,MTNR1A,MTNR1B",1|6|6,29595562,"Ramelteon, a meltaonin agonist reduced duration of delirium"
Argatroban,Prevents?,DVT,Heparin,F2,1,23377239,Coadministration 
Bivalirudin,Prevents,DVT,Heparin,F2,1,26180006,
Bivalirudin,Prevents,DVT,Heparin,F2,1,23568093,May be an alternative treatment for patients at risk of DVT who cannot take heparin.
Coagulation factor vii human,Prevents?,DVT,Heparin,F3,1,25891834,Decreased levels of Favtor VII associated with DVT
Dabigatran etexilate,Prevents,DVT,Heparin,F2,1,28197239,
Dabigatran etexilate,Prevents,DVT,Heparin,F2,1,28594794,
Dabigatran etexilate,Prevents,DVT,Heparin,F2,1,27271721,
Dabigatran etexilate,Prevents,DVT,Heparin,F2,1,26035562,
Amiloride,Prevents,Edema,Aminocaproic Acid,PLAU,1,29939487,
Amiloride,Prevents,Edema,Aminocaproic Acid,PLAU,1,28790111,
Ascorbic acid,Prevents,Edema,Carvedilol,EGLN1,2,28328669,
Ascorbic acid,Prevents,Edema,Carvedilol,EGLN1,2,26612341,
Ascorbic acid,Prevents,Edema,Carvedilol,EGLN1,2,26266908,
Aspirin,Prevents,Edema,Telmisartan,EDNRA,6,25901713,
Aspirin,Prevents,Edema,Eprosartan,EDNRA,6,25901713,
Aspirin,Prevents,Edema,Olmesartan,EDNRA,6,25901713,
Aspirin,Prevents,Edema,Desmopressin,EDNRA,6,25901713,
Aspirin,Prevents,Edema,Carvedilol,EDNRA,6,25901713,
Aspirin,Prevents,Edema,Irbesartan,EDNRA,6,25901713,
Aspirin,Prevents,Edema,Telmisartan,EDNRA,6,24285125,
Aspirin,Prevents,Edema,Eprosartan,EDNRA,6,24285125,
Aspirin,Prevents,Edema,Olmesartan,EDNRA,6,24285125,
Aspirin,Prevents,Edema,Desmopressin,EDNRA,6,24285125,
Aspirin,Prevents,Edema,Carvedilol,EDNRA,6,24285125,
Aspirin,Prevents,Edema,Irbesartan,EDNRA,6,24285125,
Aspirin,Prevents,Edema,Telmisartan,EDNRA,6,28162289,
Aspirin,Prevents,Edema,Eprosartan,EDNRA,6,28162289,
Aspirin,Prevents,Edema,Olmesartan,EDNRA,6,28162289,
Aspirin,Prevents,Edema,Desmopressin,EDNRA,6,28162289,
Aspirin,Prevents,Edema,Carvedilol,EDNRA,6,28162289,
Aspirin,Prevents,Edema,Irbesartan,EDNRA,6,28162289,
Aspirin,Prevents,Edema,Telmisartan,EDNRA,6,24656779,
Aspirin,Prevents,Edema,Eprosartan,EDNRA,6,24656779,
Aspirin,Prevents,Edema,Olmesartan,EDNRA,6,24656779,
Aspirin,Prevents,Edema,Desmopressin,EDNRA,6,24656779,
Aspirin,Prevents,Edema,Carvedilol,EDNRA,6,24656779,
Aspirin,Prevents,Edema,Irbesartan,EDNRA,6,24656779,
Plasmin,Prevents?,Edema,Telmisartan,EDNRA,6,29962211,Low levels of plasmin associated with edema
Plasmin,Prevents?,Edema,Eprosartan,EDNRA,6,29962211,Low levels of plasmin associated with edema
