Myocardial infarction	Hypertension	Pancreatitis	Hyperlipidemia	Tardive dyskinesia	Sepsis	Cardiac arrest	Cerebral infarction	Hemorrhage	Delirium	Pulmonary edema	Interstitial lung disease	Deep vein thrombosis	Thrombocytopenia	Peripheral neuropathy	Hemolytic anemia	Stevens-Johnson Syndrome	Agranulocytosis	Serotonin syndrome	Neuroleptic malignant syndrome	Visual acuity reduced	Gastric ulcer	Ventricular tachycardia	Edema	Generalized tonic-clonic seizure	Anaphylactic reaction	Proteinuria	Myopathy	Pneumonia	Sleep apnea syndrome	Sleep disorder	Hepatic necrosis	Completed suicide	QT Prolongation
Estradiol	Ibuprofen	Ibuprofen	Bexarotene	Fluvoxamine	Ibuprofen	Diatrizoic Acid	Donepezil	Lycopodium clavatum	Lorazepam	Anhydrous Citric Acid	Famotidine	Estradiol	Famotidine	Insulin Human	Ibuprofen	Alprazolam	Famotidine	Tramadol	Dantrolene	Alprazolam	Ibuprofen	Atenolol	Famotidine	Famotidine	Famotidine	Ibuprofen	Acetaminophen	Ibuprofen	Activated Charcoal	Alprazolam	Ibuprofen	Alprazolam	Quetiapine
Ibuprofen	Anhydrous Citric Acid	Orlistat	Estropipate	Trazodone	Trovafloxacin	Meperidine	Fosphenytoin	Sodium Cation	Promethazine	Diatrizoic Acid	Cyclophosphamide	Gabapentin	Ibuprofen	Metolazone	Tolazamide	Ibuprofen	Polythiazide	Sertraline	Lorazepam	Oxaprozin	Diphenhydramine	Dipyridamole	Alprazolam	Lorazepam	Achillea millefolium	Diatrizoic Acid	Chlorpheniramine	Trimetrexate	Antimony	Asian Ginseng	Trovafloxacin	Polythiazide	Azithromycin Anhydrous
Diphenhydramine	Acetaminophen	Polythiazide	Sotalol	Doxepin	Cortisone	Atenolol	Recombinant Urokinase	Spore	Morphine	Calcium Chloride	Tamoxifen	Tamoxifen	Polythiazide	Penicillin Antibiotic	Penicillin Antibiotic	Trovafloxacin	Metolazone	Fluvoxamine	Methylphenidate	Levofloxacin	Acetaminophen	Sotalol	Clotrimazole	Ondansetron	Bark	Ketorolac Tromethamine	Dextromethorphan	Azacitidine	Aspidosperma quebracho-blanco	Insulin Human	Lomefloxacin	Reserpine	Fluconazole
Nicotine	Chlorpheniramine	Metolazone	Bisoprolol	Buspirone	Levonordefrin	Atropine	Celecoxib	Thuja occidentalis	Calcium Acetate	Magnesium Chloride	Olsalazine	Aprotinin	Metolazone	Penicillin G Sodium	Penicillin G Sodium	Lomefloxacin	Tolazamide	Citalopram	Donepezil	Verteporfin	Aspirin	Torsemide	Insulin Human	Donepezil	Calcium	Tramadol	Flower	Gabapentin	Bark	Nicotine	Sulfacetamide	Hydralazine	Fluoxetine
Pseudoephedrine	Dextromethorphan	Reserpine	Hydrochlorothiazide	Valproic Acid	Mepivacaine	Edrophonium	Memantine	Twig	Quinidine	Potassium Chloride	Interferon Alfacon-1	Piperacillin	Tolazamide	Lomefloxacin	Lomefloxacin	Cimetidine	Reserpine	Citalopram Hydrobromide	Sertraline	Mitomycin	Caffeine	Lisinopril	Ibuprofen	Methocarbamol	Calendula officinalis Flowering Top	Isotretinoin	Fruit	Lisinopril	Lung	Acetaminophen	Meloxicam	Hydrochlorothiazide	Risperidone
Fluoride Ion	Flower	Trovafloxacin	Gabapentin	Risperidone	Metformin	Lorazepam	Anastrozole	Calendula officinalis Flowering Top	Fosphenytoin	Sodium Acetate	Mecamylamine	Donepezil	Diatrizoic Acid	Oxytetracycline	Oxytetracycline	Hydralazine	Trovafloxacin	Nefazodone	Pergolide	Mitomycin Antineoplastic Antibiotic	Nicotine	Aprotinin	Acetaminophen	Adenosine	Comfrey Root	Magnesium Hydroxide	Mentha arvensis	Valdecoxib	Lung Tissue	Pheniramine	Labetalol	Morphine	Trazodone
Menthol	Fruit	Cortisone	Valdecoxib	Bupropion	Morphine	Morphine	Ziprasidone	Silicon Dioxide	Sertraline	Sodium Chloride	Pamidronic Acid	Desogestrel	Dantrolene	Phenazopyridine	Glyburide	Hydrochlorothiazide	Lomefloxacin	Sumatriptan	Fluvoxamine		Naproxen	Bromocriptine	Chlorpheniramine	Trazodone	Dietary Calcium	Omeprazole	Root	Isosorbide Mononitrate	Ephedra intermedia Stem	Phenylephrine	Fluorometholone	Methylphenidate	Ciprofloxacin
Zinc Cation	Mentha arvensis	Oxytetracycline	Tamoxifen	Trihexyphenidyl	Cortisol	Dipyridamole	Pramipexole	Hypericum perforatum	Pergolide	Sodium Lactate	Nitrofurantoin	Topiramate	Reserpine	Sulfamethizole	Hydralazine	Reserpine	Oxytetracycline	Buspirone	Carbidopa		Alcohol	Nalmefene	Dextromethorphan	Foscarnet	Echinacea	Sodium Bicarbonate	Cortisone	Aprotinin	Goldenseal	Lomefloxacin	Acetaminophen	Imipramine	Sulfamethoxazole
Coal Tar	Root	Phenazopyridine	Donepezil	Amitriptyline	Theophylline	Atracurium	Lansoprazole	St. John's Wort	Secobarbital	Dantrolene	Bicalutamide	Ropinirole	Trovafloxacin	Metronidazole	Hydrochlorothiazide	Ketorolac Tromethamine	Phenazopyridine	Amitriptyline	Levodopa		Bacitracin	Sertraline	Glycerin	Citalopram	Echinacea purpurea	Naproxen	Cortisol	Donepezil	Histamine	Metoprolol	Propoxyphene	Isotretinoin	Trimethoprim
Triclosan	Meperidine	Sulfamethizole	Fluvoxamine	Chlorpromazine	Aminophylline	Methylphenidate	Tacrolimus	Ledum palustre	Fluvoxamine	Lomefloxacin	Ropinirole	Ropivacaine	Penicillin Antibiotic	Hydralazine	Reserpine	Sulfacetamide	Sulfamethizole	Escitalopram	Citalopram		Benzalkonium	Pergolide	Flower	Citalopram Hydrobromide	German Chamomile	Flurbiprofen	Gemfibrozil	Naproxen	Ion	Tramadol	Lisinopril	Gabapentin	Ondansetron
Selenium Sulfide	Diatrizoic Acid	Cimetidine	Heparin	Memantine	Azacitidine	Sotalol	Lopinavir	Gelsemium sempervirens Root	Citalopram	Glucose	Nilutamide	Celecoxib	Penicillin G Sodium	Hydrochlorothiazide	Ceftizoxime	Tramadol	Glyburide	Escitalopram Oxalate	Citalopram Hydrobromide		Benzocaine	Amlodipine	Fruit	Clonazepam	Hypericum perforatum	Olsalazine	Propoxyphene	Fosphenytoin	Seed	Isotretinoin	Magnesium Hydroxide	Sertraline	Venlafaxine
Pramocaine	Trovafloxacin	Metronidazole	Amphotericin B	Perphenazine	Gabapentin	Lisinopril	Ritonavir	Iris versicolor	Citalopram Hydrobromide	Sodium Gluconate	Melphalan	Ethinyl Estradiol	Lomefloxacin	Reserpine	Bisoprolol	Meloxicam	Acetaminophen	Tapentadol	Carbamazepine		Dietary Iodine	Hydrochlorothiazide	Mentha arvensis	Levetiracetam	Matricaria recutita	Aspirin	Prednisolone	Flurbiprofen	Twig	Sotalol	Omeprazole	Pergolide	Escitalopram
