TFRC	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
WAS	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
FCGR2A	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
CD19	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
PTGS2	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
SPTA1	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
ICOS	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
MS4A1	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
NRAS	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
SPTB	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
FCGR2B	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
MS4A1	Autoimmune hemolytic anemia	
CTLA4	Autoimmune hemolytic anemia	
IL2RA	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
NFKB2	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
NFKB1	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
FCGR2C	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
WIPF1	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
IGHV2-5	Autoimmune hemolytic anemia	
ICAM1	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
CD3G	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
FCGR3A	Autoimmune hemolytic anemia	
CD3G	Autoimmune hemolytic anemia	
IGHV2-5	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency	
FCGR3B	Autoimmune hemolytic anemia	
FCGR3A	IGHV3-13	0.8631759289499149	
FCGR1A	IGKV1-17	0.8622716890165686	
GRB2	EGF	0.8709395632991972	
GRB2	GAB1	0.8700802354466785	
FCGR3A	V1-20	0.8631759289499149	
CHUK	IKBKB	0.8587458633585864	
FCGR1A	IGHV	0.8622716890165686	
GRB2	AP2B1	0.8664242982340606	
ALOX5	rs2115819	0.99	
FCGR1A	IGLV2-8	0.8622716890165686	
GRB2	TRAT1	0.857607030791991	
GRB2	IGHV3-33	0.8629120120439986	
FCGR3A	IGKV4-1	0.8631759289499149	
FCGR2A	IGKV3-15	0.8622716890165686	
FCGR2A	IGHV3-7	0.8622716890165686	
FCGR1A	IGHV3-53	0.8622716890165686	
GRB2	PIK3CB	0.8666667021189254	
FCGR3A	IGHG1	0.8614909610942352	
CTLA4	CD80	0.8370620429147057	
FCGR2A	IGKV2D-30	0.8622716890165686	
FCGR3A	V1-13	0.8631759289499149	
GRB2	CSF2RB	0.8685373729269955	
FCGR1A	IGKV1-12	0.8622716890165686	
Alemtuzumab	C1QB	1	
GRB2	V1-20	0.8611234767592315	
FCGR1A	SYK	0.8613101570521862	
C1QA	C1S	0.8396144291374222	
FCGR3A	IGKV2D-28	0.8631759289499149	
FCGR2A	IGLV3-1	0.8622716890165686	
GRB2	APOB	0.8628338709774962	
Pegademase Bovine	GRB2	1	
FCGR2A	V3-3	0.8622716890165686	
FCGR2A	IGHV1-69	0.8622716890165686	
GRB2	CYFIP2	0.8281207788973212	
FCGR1A	IGHV3-23	0.8622716890165686	
GRB2	IGLV1-44	0.8629120120439986	
FCGR3A	IGHV1-46	0.8631759289499149	
FCGR3A	IGHV2-5	0.8631759289499149	
GRB2	WIPF3	0.8448687443032323	
FCGR1A	V4-1	0.8622716890165686	
GRB2	SRC	0.8615163260680712	
Natalizumab	C1QB	1	
C1S	C1QA	0.8396144291374222	
Rituximab	FCGR2A	1	
GRB2	RASGRF1	0.8670770245481983	
GRB2	BCR	0.850491991613676	
FCGR2A	IGKV3-20	0.8622716890165686	
GRB2	AP2A2	0.8664242982340606	
GRB2	IL5RA	0.8682783240170482	
