CNR1	alcohol use disorder	
CYP2E1	alcohol use disorder	
TAS2R13	alcohol use disorder	
NPSR1	alcohol use disorder	
DRD2	alcohol use disorder	
CRHR1	alcohol use disorder	
SLC6A4	alcohol use disorder	
PIK3R1	alcohol use disorder	
CRH	alcohol use disorder	
TACR1	alcohol use disorder	
AVP	alcohol use disorder	
ANKK1	alcohol use disorder	
OPRM1	alcohol use disorder	
HTR2B	TRHR	0.8354005520686607	
Risperidone	CYP3A4	1	
DRD2	CCR6	0.8354005520686607	
HTR1A	KNG1	0.8407682499807351	
ADRA1A	rs1048101	0.99	
CYP2C9	rs4086116	0.99	
OPRD1	ADRA2B	0.8252219011119977	
HTR1B	TAS2R60	0.8354005520686607	
OPRD1	CNR1	0.8354005520686607	
OPRK1	SAA1	0.8407682499807351	
DRD2	CCR8	0.8354005520686607	
HTR2B	CHRM3	0.8354005520686607	
Paroxetine	CHRM2	1	
HTR1A	P2RY13	0.8354005520686607	
CHRM4	CXCL16	0.8407682499807351	
CHRM1	CCKAR	0.8252219011119977	
Olanzapine	HRH1	1	
APOE	APOE E2, APOE E3, APOE E4	0.8381682809941505	
CHRM1	P2RY2	0.8354005520686607	
CHRM2	MTNR1B	0.8252219011119977	
CFH	rs1061170	0.8551864921887058	
SLC22A1	rs35167514	0.99	
Memantine	CYP2C19	1	
ADRB2	SCTR	0.8354005520686607	
HTR1D	TAS2R45	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLA2	0.8638247395845513	
HTR1B	CCR5	0.8354005520686607	
HTR2B	NTSR2	0.8252219011119977	
HTR2B	CHRM5	0.8354005520686607	
HTR1D	MCHR2	0.8354005520686607	
HTR2A	TACR1	0.8252219011119977	
HTR5A	CCL27	0.8407682499807351	
ADRB2	GPR83	0.8252219011119977	
HTR1B	NPY	0.833320481754769	
DRD3	NPY1R	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GJC2	0.818984274335209	
HRH4	GALR3	0.8252219011119977	
CHRM2	SSTR4	0.8354005520686607	
ADRA1B	QRFP	0.833320481754769	
HRH1	ADRA1A	0.8354005520686607	
ADRA1B	UTS2B	0.8407682499807351	
CHRM3	ADRA1A	0.8354005520686607	
CYP2C9	CYP2C9*1, CYP2C9*2, CYP2C9*3, CYP2C9*6	0.99	
Pramipexole	SLC22A1	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:Ze+0W0eVhC83twMz3vRT3padrsk9606	0.818984274335209	
CHRM4	PENK	0.8407682499807351	
HTR1D	PYY	0.833320481754769	
Lurasidone	DRD2	1	
HRH1	GNA15	0.8595571341704282	
ADRB2	CLTA	0.8664089236866457	
CYP2C19	CYP2C19*1, CYP2C19*16, CYP2C19*2	0.99	
HTR1F	TAS2R41	0.8354005520686607	
OPRM1	OXGR1	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:q6IZvGeHHY4cOWPHVW3Z7k177/w32630	0.8638247395845513	
CXCL5	rs352046	0.8323605674809277	
CHRM2	CCR6	0.8354005520686607	
ANKK1	rs7118900	0.9702989999999999	
DRD3	APLN	0.8407682499807351	
DRD2	MCHR2	0.8354005520686607	
Carvedilol	HIF1A	1	
DRD4	FPR2	0.8354005520686607	
OPRD1	CCL19	0.8407682499807351	
HRH4	ADRA2C	0.8252219011119977	
