STAT3	Interstitial lung and liver disease	
CCR8	airway disease	
CCR1	airway disease	
VEGFA	stage, non-small cell lung cancer	
IFNG	Interstitial lung and liver disease	
CXCR4	airway disease	
CSF2	stage, non-small cell lung cancer	
IL2RA	Interstitial lung and liver disease	
AKT1	stage, non-small cell lung cancer	
C3	airway disease	
CCR3	airway disease	
CXCR2	airway disease	
IL4	Interstitial lung and liver disease	
EGFR	stage, non-small cell lung cancer	
CCR4	airway disease	
KRAS	stage, non-small cell lung cancer	
CCL5	airway disease	
PTGDR2	airway disease	
CXCL8	airway disease	
ERBB2	stage, non-small cell lung cancer	
FGFR1	stage, non-small cell lung cancer	
TAS2R38	airway disease	
HCAR3	CHRM4	0.8354005520686607	
FGF2	GFRA2	0.855946747881349	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ITGA2	0.8638247395845513	
P2RY12	TAS2R39	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TTPAL	0.8638247395845513	
EGFR	NRTN	0.847975029345742	
FCGR1A	IGKV1-17	0.8622716890165686	
P2RY12	GRM7	0.8252219011119977	
CYP19A1	rs10046	0.99	
UGT1A1	rs10929302	0.8775210229989678	
FCGR1A	IGHV	0.8622716890165686	
HCAR2	CXCR4	0.8354005520686607	
CYP2C9	rs4086116	0.99	
FGF2	SHC2	0.8513157657742707	
CYP2C19	CYP2C19*1, CYP2C19*17, CYP2C19*2, CYP2C19*3	0.99	
FCGR2A	IGHV3-7	0.8622716890165686	
JAK3	IL3	0.8281207788973212	
P2RY12	CCL25	0.8407682499807351	
FCGR1A	IGHV3-53	0.8622716890165686	
FCGR3A	IGHG1	0.8614909610942352	
HCAR3	ANXA1	0.8459813396079446	
P2RY12	HTR1B	0.8354005520686607	
FCGR3A	V1-13	0.8631759289499149	
EGFR	PIK3R2	0.8372883840480309	
C1QA	C1S	0.8396144291374222	
ABCC1	rs4148350	0.99	
P2RY12	FPR2	0.8354005520686607	
EGFR	FCHO2	0.8541713484689148	
FCGR2A	IGLV3-1	0.8622716890165686	
APOE	APOE E2, APOE E3, APOE E4	0.8381682809941505	
FCGR2A	IGHV1-69	0.8622716890165686	
CYP2C19	CYP2C19*1, CYP2C19*8, CYP2C19*9	0.99	
P2RY12	GAL	0.833320481754769	
HCAR3	MTNR1A	0.8252219011119977	
C1S	C1QA	0.8396144291374222	
MET	FGFR2	0.847975029345742	
HCAR2	GPR18	0.8354005520686607	
CFH	rs1061170	0.8551864921887058	
EGFR	RASGRP3	0.8372883840480309	
FGF2	TEK	0.853898073011433	
P2RY12	POMC	0.8407682499807351	
MET	PLXNB1	0.8489787793628667	
P2RY12	CXCL1	0.8407682499807351	
HCAR2	ACKR3	0.8354005520686607	
EGFR	FNBP1	0.863443159858049	
P2RY12	P2RY12 H1, P2RY12 H2	0.99	
HCAR3	NPB	0.8407682499807351	
EGFR	IL2RB	0.8435102388865442	
PDGFRA	HBEGF	0.8513157657742707	
UGT1A9	rs2741049	0.9509900498999999	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLA2	0.8638247395845513	
EGFR	IRS2	0.853898073011433	
HCAR2	CCL25	0.8407682499807351	
ERBB2	EGF	0.8699241648547257	
JAK2	SHC1	0.8655209368590407	
IFNGR1	STAT1	0.8541037391936209	
EGFR	RASGRP4	0.8372883840480309	
MET	FRS2	0.8619307007599862	
rs429358	TOMM40	0.829786598184209	
HCAR3	SSTR1	0.8354005520686607	
KIT	ERBB4	0.847975029345742	
MTOR	RHEB	0.8635288847054211	
JAK2	PTPN11	0.8646311356702836	
HCAR3	RLN3	0.8459813396079446	
HCAR2	S1PR3	0.8252219011119977	
EGFR	MEMO1	0.8319100629186602	
HCAR2	AGT	0.8407682499807351	
P2RY12	GNAI3	0.8632667287580127	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CEP44	0.8638247395845513	
JAK1	IFNA13	0.8622496297868503	
EGFR	SH3GL2	0.8674353964859094	
HCAR3	HTR1A	0.8354005520686607	
FCGR3A	IGHV1-2	0.8631759289499149	
P2RY12	P2RY12	0.849809014912932	
UGT1A1	UGT1A1*1, UGT1A1*28, UGT1A1*37, UGT1A1*6	0.9509900498999999	
FCGR2A	IGLV2-14	0.8622716890165686	
FCGR1A	ELMO2	0.7983096722548423	
CYP3A4	rs4986910	0.99	
CYP2C19	rs12768009	0.99	
Clopidogrel	P2RY12	1	
ABCB1	rs2235040	0.99	
UGT1A	rs11563250	0.8953382542587163	
CYP2C9	CYP2C9*1, CYP2C9*2, CYP2C9*3, CYP2C9*6	0.99	
Vandetanib	TEK	1	
FCGR3A	IGHV3-53	0.8631759289499149	
Tofacitinib	CYP2C19	1	
Osimertinib	CYP3A4	1	
FGF1	IL3RA	0.853898073011433	
FGF1	NEFL	0.853898073011433	
P2RY12	CCL23	0.8407682499807351	
EGFR	FZD4	0.863443159858049	
FGFR3	FGF10	0.858976627682086	
FGF2	FRS2	0.8707732572225595	
VEGFA	rs833061	0.99	
Tofacitinib	CYP3A4	1	
MET	UBA52	0.8539671061984366	
SLCO1B1	rs4363657	0.99	
FGF1	FGF2	0.8711460506590507	
FCGR3A	IGHV3-33	0.8631759289499149	
FGFR3	IRS1	0.8435102388865442	
FGF2	ERBB2	0.8655209368590407	
FGF1	FRS2	0.870793883975244	
MET	EREG	0.8513157657742707	
HCAR3	MTNR1B	0.8252219011119977	
MET	TEK	0.8281207788973212	
P2RY12	OPRL1	0.8354005520686607	
FGF1	GRIN2C	0.853898073011433	
CYP2C19	CYP2C19*1, CYP2C19*16, CYP2C19*2	0.99	
FCGR3A	IGKV1-17	0.8631759289499149	
FGF2	JAK2	0.853898073011433	
FCGR1A	IGKV1-39	0.8622716890165686	
MTOR	PRKAG1	0.849809014912932	
FCGR1A	V2-11	0.8622716890165686	
FCGR1A	V1-11	0.8622716890165686	
HCAR3	TAS2R13	0.8354005520686607	
HCAR2	CNR1	0.8354005520686607	
ERBB2	FGFR3	0.855946747881349	
EGFR	CSF2RA	0.8435102388865442	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:q6IZvGeHHY4cOWPHVW3Z7k177/w32630	0.8638247395845513	
PDGFRB	FGF19	0.8435102388865442	
HCAR2	CCR2	0.8354005520686607	
KDR	ROCK2	0.8252219011119977	
P2RY12	BDKRB1	0.8354005520686607	
ERBB2	ANGPT1	0.8281207788973212	
CYP2C9	rs56165452	0.99	
CYP3A4	rs35599367	0.9135172474836407	
FGF2	IL2	0.853898073011433	
ERBB4	NRAS	0.860155337427376	
MET	RANBP9	0.8452958729825284	
JAK3	IL2RG	0.8663544643367949	
CYP3A4	rs35599367	0.99	
Niacin	CYP2D6	1	
EGFR	NRG4	0.8693683183476757	
PDGFRB	BTC	0.847975029345742	
PIK3CA	rs2699887	0.8595395962867226	
HCAR2	CXCL11	0.8407682499807351	
JAK2	CAMK2B	0.8354005520686607	
P2RY12	P2RY13	0.8354005520686607	
KDR	ELMO2	0.7983096722548423	
CYP3A5	CYP3A5*1A, CYP3A5*3A	0.99	
HCAR2	MCHR2	0.8354005520686607	
KIT	HGF	0.8372883840480309	
FGF1	SPTBN1	0.853898073011433	
P2RY12	CCR6	0.8354005520686607	
CYP3A4	CYP3A4*1, CYP3A4*20, CYP3A4*8	0.99	
FGF1	NCAM1	0.853898073011433	
CES1	rs71647871	0.99	
HCAR2	C3AR1	0.8354005520686607	
ABCB1	rs4148739	0.99	
ERBB4	MATK	0.7983096722548423	
PDGFRB	HGF	0.8372883840480309	
CYP2C9	rs1799853	0.99	
EGFR	IL2	0.8435102388865442	
FGFR3	PDGFB	0.8435102388865442	
FGF2	IL2RG	0.853898073011433	
HCAR3	OPRD1	0.8354005520686607	
ERBB4	CSF2RB	0.8281207788973212	
ERBB2	NRG2	0.8695069661438609	
C1QB	C1R	0.8396144291374222	
KIT	FGF3	0.855946747881349	
FGF2	FGF16	0.8707864810775601	
EGFR	AP2B1	0.8664242982340606	
FCGR1A	IGHV2-5	0.8622716890165686	
ERBB4	FGF23	0.8651659866513213	
FGF2	PIK3R1	0.8698411176492354	
FGF1	RASGRP1	0.8513157657742707	
Trastuzumab	C1R	1	
EGFR	EPS15	0.8681819658126884	
FCGR3A	FCGR1A	0.8580060915991022	
UGT1A1	rs1042640	0.9509900498999999	
HCAR2	GPR17	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AMPD3	0.8638247395845513	
FCGR2A	RAC1	0.852724204446584	
FCGR3A	IGKV1D-12	0.8631759289499149	
FGF1	SPTAN1	0.853898073011433	
HCAR2	NPW	0.8407682499807351	
JAK1	CAMK2G	0.8354005520686607	
FCGR3A	IGLC7	0.8631759289499149	
FCGR2A	IGHV1-46	0.8622716890165686	
JAK3	IL5RA	0.8281207788973212	
P2RY12	HCAR3	0.8354005520686607	
HCAR3	TAS2R16	0.8354005520686607	
HCAR3	SSTR5	0.8354005520686607	
HCAR3	NMUR2	0.8421959353175904	
UGT1A9	rs2003569	0.8953382542587163	
VEGFA	PIK3CB	0.8468891025876341	
FCGR2A	IGKV3D-20	0.8622716890165686	
JAK3	SHC1	0.8643188307528107	
HCAR2	OPRK1	0.8354005520686607	
HCAR3	CXCL12	0.8407682499807351	
HCAR2	TAS2R42	0.8354005520686607	
ABCB1	rs1045642	0.99	
UGT1A9	rs72551344	0.8953382542587163	
FGFR3	EGF	0.855946747881349	
HCAR3	APLNR	0.8354005520686607	
ABCB1	rs10248420	0.99	
EGFR	FGF22	0.8619307007599862	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOA1	0.8638247395845513	
HCAR3	CXCL1	0.8407682499807351	
FCGR1A	IGHV4-34	0.8622716890165686	
VEGFA	rs699947	0.99	
FGF1	FGF6	0.8709618647921983	
HCAR2	MTNR1A	0.8252219011119977	
CYP2B6	rs7254579	0.99	
HCAR3	NPY	0.833320481754769	
HCAR3	MCHR2	0.8354005520686607	
PDGFRB	FGF18	0.8610963123912945	
FCGR3A	IGKV2D-30	0.8631759289499149	
CYP3A4	CYP3A4*1, CYP3A4*4	0.9509900498999999	
FCGR2A	IGHV	0.8622716890165686	
