NPPB	Cerebral edema	
TNFRSF1A	Facial edema	
CCR5	Pulmonary edema	
FPR1	Pulmonary edema	
PLAU	Cerebral edema	
SLC25A13	Cerebral edema	
EGLN1	Pulmonary edema	
FGF7	Pulmonary edema	
VEGFA	High altitude pulmonary edema	
F2R	Pulmonary edema	
VEGFA	Pulmonary edema	
TH	High altitude pulmonary edema	
HIF1A	Pulmonary edema	
AVPR1A	Cerebral edema	
FGF10	Pulmonary edema	
REN	High altitude pulmonary edema	
EDN1	Cerebral edema	
PLAT	Cerebral edema	
ABCC8	Cerebral edema	
ADRB2	Pulmonary edema	
FSHR	Pulmonary edema	
F2	Cerebral edema	
TEK	Pulmonary edema	
F2R	Cerebral edema	
ALB	Pulmonary edema	
CXCL2	Pulmonary edema	
GFAP	Cerebral edema	
CAV1	Pulmonary edema	
EDNRA	High altitude pulmonary edema	
TNFRSF1A	Periorbital edema	
EDN1	High altitude pulmonary edema	
ROCK1	Pulmonary edema	
APOE	Cerebral edema	
MYL4	Cerebral edema	
DMD	Cerebral edema	
NRG1	Pulmonary edema	
ALOX5	Pulmonary edema	
TRPV1	Pulmonary edema	
AGTR1	High altitude pulmonary edema	
PTGS2	Pulmonary edema	
ADRB2	High altitude pulmonary edema	
GHRH	Pulmonary edema	
CXCL8	Pulmonary edema	
IL2	Pulmonary edema	
ACE	High altitude pulmonary edema	
MPO	Pulmonary edema	
EGLN1	High altitude pulmonary edema	
HTR2B	TRHR	0.8354005520686607	
ADORA1	HCAR1	0.8354005520686607	
SSTR1	CCR10	0.8354005520686607	
DRD2	CCR6	0.8354005520686607	
HTR1A	KNG1	0.8407682499807351	
ADRA1A	rs1048101	0.99	
CYP2C9	rs4086116	0.99	
HTR1B	TAS2R60	0.8354005520686607	
SSTR1	MCHR2	0.8354005520686607	
DRD2	CCR8	0.8354005520686607	
UGT1A6	rs6759892	0.9135172474836407	
HTR2B	CHRM3	0.8354005520686607	
HTR1A	P2RY13	0.8354005520686607	
CHRM4	CXCL16	0.8407682499807351	
CHRM1	CCKAR	0.8252219011119977	
APOE	APOE E2, APOE E3, APOE E4	0.8381682809941505	
CHRM1	P2RY2	0.8354005520686607	
CHRM2	MTNR1B	0.8252219011119977	
PDE4A	ADCY8	0.8281207788973212	
CFH	rs1061170	0.8551864921887058	
SLC22A1	rs35167514	0.99	
Quetiapine	CHRM4	1	
AVPR1B	EDNRB	0.8252219011119977	
ADRB2	SCTR	0.8354005520686607	
P2RY12	CXCL1	0.8407682499807351	
HTR1D	TAS2R45	0.8354005520686607	
AVPR1A	GPR17	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLA2	0.8638247395845513	
HTR1B	CCR5	0.8354005520686607	
HTR2B	NTSR2	0.8252219011119977	
Maprotiline	ORM1	1	
HTR2B	CHRM5	0.8354005520686607	
HTR1D	MCHR2	0.8354005520686607	
HTR2A	TACR1	0.8252219011119977	
HTR5A	CCL27	0.8407682499807351	
ADRB2	GPR83	0.8252219011119977	
SSTR2	TAS2R8	0.8354005520686607	
EGFR	SH3GL2	0.8674353964859094	
AVPR1A	ADRA1A	0.8354005520686607	
HTR1B	NPY	0.833320481754769	
SSTR2	CXCL13	0.8407682499807351	
Oxymetholone	AR	1	
DRD3	NPY1R	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GJC2	0.818984274335209	
HRH4	GALR3	0.8252219011119977	
CHRM2	SSTR4	0.8354005520686607	
ADRA1B	QRFP	0.833320481754769	
HRH1	ADRA1A	0.8354005520686607	
ADRA1B	UTS2B	0.8407682499807351	
CHRM3	ADRA1A	0.8354005520686607	
Quetiapine	CYP3A4	1	
CYP2C9	CYP2C9*1, CYP2C9*2, CYP2C9*3, CYP2C9*6	0.99	
Pramipexole	SLC22A1	1	
Diflunisal	UGT1A8	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:Ze+0W0eVhC83twMz3vRT3padrsk9606	0.818984274335209	
CHRM4	PENK	0.8407682499807351	
HTR1D	PYY	0.833320481754769	
HRH1	GNA15	0.8595571341704282	
ADRB2	CLTA	0.8664089236866457	
AVPR2	PTGIR	0.8354005520686607	
CYP2C19	CYP2C19*1, CYP2C19*16, CYP2C19*2	0.99	
MLNR	SAA1	0.833320481754769	
SSTR5	SAA1	0.8407682499807351	
ADORA1	NPB	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:q6IZvGeHHY4cOWPHVW3Z7k177/w32630	0.8638247395845513	
CXCL5	rs352046	0.8323605674809277	
CHRM2	CCR6	0.8354005520686607	
ANKK1	rs7118900	0.9702989999999999	
DRD3	APLN	0.8407682499807351	
DRD2	MCHR2	0.8354005520686607	
Carvedilol	HIF1A	1	
DRD4	FPR2	0.8354005520686607	
HRH4	ADRA2C	0.8252219011119977	
P2RY12	P2RY13	0.8354005520686607	
HTR5A	LPAR5	0.8252219011119977	
ADRA2A	GNAZ	0.8567933402497072	
CHRM3	HRH1	0.8354005520686607	
EGFR	IL2	0.8435102388865442	
HRH4	CXCL10	0.8407682499807351	
ADRB1	ADORA2B	0.8354005520686607	
HTR2A	NMB	0.8407682499807351	
HTR5A	CXCR1	0.8354005520686607	
Paliperidone	CYP3A4	1	
ADRA1D	GHRL	0.8407682499807351	
ADRA1B	GNA12	0.8526462282435747	
