NDUFS4	Hepatic necrosis	
CXCR2	Hepatic necrosis	
NDUFAF2	Hepatic necrosis	
NDUFA2	Hepatic necrosis	
TGFA	Hepatic necrosis	
NDUFA12	Hepatic necrosis	
HADH	Hepatic necrosis	
NDUFA10	Hepatic necrosis	
FPR1	Hepatic necrosis	
CYP3A4	Hepatic necrosis	
CNR2	Hepatic necrosis	
OPRD1	SSTR4	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ITGA2	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TTPAL	0.8638247395845513	
ATP5D	ATP5G1	0.8294526363440686	
OPRD1	ACKR3	0.8354005520686607	
OPRM1	CCR2	0.8354005520686607	
OPRK1	GABBR1	0.8252219011119977	
OPRD1	ADRA2B	0.8252219011119977	
GRIA1	F8	0.8580060915991022	
CYP3A4	MGST1	0.792109822701367	
OPRD1	CXCL3	0.8407682499807351	
OPRD1	TAS2R39	0.8354005520686607	
OPRK1	LPAR1	0.8252219011119977	
OPRK1	MT-RNR2	0.8459813396079446	
CYP2D6	CYP2D6*20, CYP2D6*4	0.99	
OPRD1	CNR1	0.8354005520686607	
OPRM1	FPR3	0.8354005520686607	
OPRD1	rs2236861	0.99	
OPRD1	CXCL12	0.8407682499807351	
OPRK1	SAA1	0.8407682499807351	
OPRD1	CCL16	0.8407682499807351	
OPRD1	SSTR3	0.8354005520686607	
OPRK1	TAS2R7	0.8354005520686607	
CYP3A4	rs56324128	0.9509900498999999	
OPRK1	PDYN	0.8436671950788296	
CYP2A6	rs56113850	0.99	
OPRM1	CXCR6	0.8354005520686607	
OPRM1	HCAR1	0.8354005520686607	
OPRD1	PF4	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PCDH1	0.8638247395845513	
OPRM1	TAS2R14	0.8354005520686607	
OPRD1	CCR8	0.8354005520686607	
OPRM1	DRD3	0.8354005520686607	
OPRK1	MCHR1	0.8354005520686607	
OPRD1	TAS2R10	0.8354005520686607	
OPRM1	TAS2R3	0.8354005520686607	
OPRD1	PPBP	0.8407682499807351	
OPRD1	HTR1B	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*17, CYP2D6*1xN, CYP2D6*2, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*40, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
OPRK1	LPAR2	0.8252219011119977	
OPRM1	NPBWR1	0.8354005520686607	
APOE	APOE E2, APOE E3, APOE E4	0.8381682809941505	
Sevoflurane	MT-ND1	1	
CYP2E1	rs6413432	0.99	
OPRK1	CCR7	0.8354005520686607	
CYP3A4	rs12721627	0.8775210229989678	
OPRM1	SST	0.8407682499807351	
GRIA1	TMED2	0.8580060915991022	
OPRM1	FPR1	0.8354005520686607	
OPRK1	ADRA2C	0.8252219011119977	
OPRD1	CCL27	0.8407682499807351	
OPRM1	ADORA1	0.8354005520686607	
OPRD1	APP	0.8407682499807351	
ITGA2	rs1126643	0.8551864921887058	
OPRM1	CORT	0.8407682499807351	
MT-ND1	HADH	0.8372883840480309	
ALB	complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	0.954526206676	
OPRD1	NPY2R	0.8252219011119977	
OPRD1	CCL5	0.8407682499807351	
CFH	rs1061170	0.8551864921887058	
OPRM1	rs9384179	0.99	
OPRD1	LPAR3	0.8252219011119977	
OPRD1	ADORA3	0.8354005520686607	
OPRM1	HTR1D	0.8354005520686607	
GRIA1	GOSR2	0.860155337427376	
OPRD1	S1PR5	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	BBC3	0.8638247395845513	
OPRK1	TAS2R8	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLA2	0.8638247395845513	
