SCN5A	Ventricular tachycardia, catecholaminergic polymorphic, 2	
ACE	Ventricular tachycardia, catecholaminergic polymorphic, 2	
REN	Ventricular tachycardia, catecholaminergic polymorphic, 2	
ADRB1	Ventricular tachycardia, catecholaminergic polymorphic, 2	
GNAI2	Ventricular tachycardia, catecholaminergic polymorphic, 2	
ADRB2	Ventricular tachycardia, catecholaminergic polymorphic, 2	
AGT	Ventricular tachycardia, catecholaminergic polymorphic, 2	
EDN1	Ventricular tachycardia, catecholaminergic polymorphic, 2	
ABCB1	rs10267099	0.99	
ADRB2	PACSIN2	0.863443159858049	
ADRB3	FSHB	0.8407682499807351	
ADRB3	GNAS	0.8549476386052599	
ADRB3	ADORA2B	0.8354005520686607	
ADRA1A	rs1048101	0.99	
ADRA2A	GNB1	0.8626329038096527	
ADRA1A	TACR2	0.8252219011119977	
ADRA1A	EDN2	0.833320481754769	
ADRA2B	ADRA2C	0.8459813396079446	
ADRB2	RAMP3	0.8421959353175904	
ADRB2	CGA	0.849809014912932	
CYP2C9	rs4086116	0.99	
ADRA2A	CXCL6	0.8407682499807351	
CYP3A4	MGST1	0.792109822701367	
ADRB1	CALCR	0.8421959353175904	
ADRA2A	rs1800544	0.8375215262118652	
ADRA1B	LTB4R2	0.8252219011119977	
TNF	rs1799724	0.99	
ADRA1A	KNG1	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SCN5A	0.818984274335209	
Epinephrine	ADRA1B	1	
CYP3A4	rs56324128	0.9509900498999999	
ADRB2	RAMP1	0.8421959353175904	
ADRB1	ADM	0.8407682499807351	
ADRA2B	POMC	0.833320481754769	
ADRB1	RXFP1	0.8354005520686607	
ADRB1	RLN3	0.8407682499807351	
ADRB2	GRK6	0.8086124452583398	
ADRB2	GPHA2	0.8407682499807351	
ADRA1D	GAST	0.8407682499807351	
ADRA1B	GCGR	0.8354005520686607	
ABCB1	rs3789243	0.99	
ADRA1D	MLNR	0.8354005520686607	
ADRA1B	GHSR	0.8354005520686607	
ADRA1D	GRP	0.8407682499807351	
ADRB2	VIPR1	0.8252219011119977	
ADRA1B	GNRHR	0.8354005520686607	
ADRA1A	PROK2	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SCAF1	0.818984274335209	
ADRA1B	PTAFR	0.8252219011119977	
ADRB2	GPR45	0.8252219011119977	
ADRA1D	XCL1	0.833320481754769	
ADRA1D	NPFFR1	0.8252219011119977	
CYP3A4	rs12721627	0.8775210229989678	
ADRA1A	GPR65	0.8354005520686607	
ADRA1D	P2RY6	0.8354005520686607	
ADRA1B	AVPR1B	0.8354005520686607	
ADRA2B	ADRA2B	0.8459813396079446	
ADRA2C	ADRA2A	0.8459813396079446	
ADRA1D	FFAR3	0.8354005520686607	
ADRA1D	CCL23	0.833320481754769	
ADRB2	DAB2	0.8639805355496311	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	RLF	0.818984274335209	
ADRB2	AP2A1	0.8669217489920482	
ACE	rs4359	0.99	
ADRA1A	KISS1R	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SGOL2	0.818984274335209	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SACS	0.818984274335209	
ADRA1A	TACR3	0.8252219011119977	
ADRA1D	ADRA1B	0.849809014912932	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ZNF232	0.818984274335209	
ADRA1D	FFAR1	0.8354005520686607	
SLC22A1	rs35167514	0.99	
ADRA1A	CYSLTR2	0.8252219011119977	
ADRA1A	HTR2B	0.8354005520686607	
Epinephrine	CYP3A4	1	
CYP2C9	CYP2C9*1, CYP2C9*13, CYP2C9*3	0.99	
ADRA1D	XCL2	0.833320481754769	
ADRA2A	rs1800545	0.8375215262118652	
Epinephrine	SLC22A5	1	
ADRB2	SCTR	0.8354005520686607	
APOC1	rs429358	0.8107944315918569	
ADRB2	rs1042713	0.99	
EDN1	rs5370	0.8249872769372213	
ADRA1B	OPN4	0.8354005520686607	
ADRB1	PTGER4	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	NCOA3	0.818984274335209	
ADRA1D	GNRH1	0.8407682499807351	
ADRB1	RAMP3	0.8421959353175904	
ADRA1A	GNB1	0.8632667287580127	
ADRB3	CRH	0.8407682499807351	
ADRA1A	GNG2	0.8632667287580127	
ADRA1A	EDNRA	0.8252219011119977	
ADRA1A	LTB4R	0.8252219011119977	
ADRA1B	CASR	0.8354005520686607	
ADRA2C	POMC	0.833320481754769	
ADRB1	GPR83	0.8252219011119977	
ADRA1A	CCK	0.833320481754769	
ADRB2	ADORA2B	0.8354005520686607	
ADRB2	MC5R	0.8252219011119977	
CYP2C9	rs1934969	0.99	
ADRA1D	EDN3	0.833320481754769	
ADRB2	GPR83	0.8252219011119977	
CYP3A4	rs4987161	0.99	
ADRB2	ARPC5	0.8628338709774962	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AP4E1	0.818984274335209	
ADRB1	TAAR1	0.8354005520686607	
ADRB3	GIPR	0.8354005520686607	
ADRA1D	CYSLTR2	0.8252219011119977	
CYP3A	rs4987161	0.8953382542587163	
ADRA1B	NPS	0.8407682499807351	
ADRA1A	GNA15	0.8595571341704282	
ADRA1D	NMUR1	0.8354005520686607	
ADRA1B	CYSLTR2	0.8252219011119977	
ADRB2	KIAA0319	0.863443159858049	
ADRB2	ADRB3	0.8354005520686607	
CYP2C9	rs12782374	0.99	
CYP3A4	rs4986910	0.9135172474836407	
ADRB1	PTH2	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GJC2	0.818984274335209	
ADRA1A	FFAR2	0.8354005520686607	
ADRB2	GCGR	0.8354005520686607	
ADRA1B	QRFP	0.833320481754769	
ADRA1A	F2RL3	0.8252219011119977	
CYP3A4	rs4986910	0.99	
ADRA1A	PTGER1	0.8252219011119977	
ADRA1B	TRHR	0.8354005520686607	
ADRB2	PTH	0.8407682499807351	
ADRA1B	UTS2B	0.8407682499807351	
ABCB1	rs2235040	0.99	
ADRA1B	ADRA1A	0.849809014912932	
ADRB3	NPSR1	0.8354005520686607	
ADRA1D	LPAR5	0.8252219011119977	
CYP2C9	CYP2C9*1, CYP2C9*2, CYP2C9*3, CYP2C9*6	0.99	
ADRB2	EGFR	0.863443159858049	
ADRA1B	CCKAR	0.8252219011119977	
ADRB2	GPHB5	0.8407682499807351	
CYP3A4	rs4646440	0.9135172474836407	
ADRB2	CALCB	0.8407682499807351	
ADRB1	GNG2	0.8526462282435747	
ADRB2	CLTB	0.866142943288039	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:Ze+0W0eVhC83twMz3vRT3padrsk9606	0.818984274335209	
ADRA1A	GRPR	0.8354005520686607	
ADRA2C	GNAI2	0.8497082254156562	
ADRA1A	AGT	0.8407682499807351	
ADRA1B	F2R	0.8252219011119977	
ADRA1D	F2RL3	0.8252219011119977	
ABCB1	rs2235067	0.99	
CYP2C9	CYP2C9*1, CYP2C9*3	0.99	
ADRA1D	F2	0.833320481754769	
ADRA2B	ANXA1	0.8407682499807351	
ADRA1A	TBXA2R	0.852724204446584	
ADRB1	HRH2	0.8354005520686607	
CYP3A4	rs2740574	0.9509900498999999	
ADRA1D	AVPR1B	0.8354005520686607	
ADRA1D	NPFF	0.833320481754769	
ADRB2	CLTA	0.8664089236866457	
ADRA1A	GNA12	0.8526462282435747	
CYP3A4	CYP3A4*1, CYP3A4*20, CYP3A4*8	0.9509900498999999	
ADRB1	GPR32	0.8252219011119977	
ADRB2	GNB1	0.8526462282435747	
ADRA1B	GPR132	0.8354005520686607	
ADRB2	M6PR	0.863443159858049	
ADRB2	PTGER4	0.8252219011119977	
ADRA1D	NPSR1	0.8354005520686607	
ADRA2C	PPBP	0.833320481754769	
ADRB2	SYNJ1	0.8613363396709319	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OBSL1	0.818984274335209	
ADRB1	MC1R	0.8252219011119977	
ADRA1D	LTB4R	0.8252219011119977	
ADRA1D	EDNRA	0.8252219011119977	
ADRB2	LHCGR	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CNOT1	0.818984274335209	
CYP2C9	rs72558187	0.99	
ADRA1B	UTS2	0.8407682499807351	
ADRB2	HTR7	0.8354005520686607	
CYP2C9	rs56165452	0.99	
CYP3A4	rs35599367	0.9135172474836407	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GCN1L1	0.818984274335209	
ADRB2	SLC18A3	0.863443159858049	
ADRA1B	PMCH	0.833320481754769	
CYP3A4	rs35599367	0.99	
ABCB1	rs1128503	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AHSG	0.818984274335209	
ADRA1A	GPR4	0.8354005520686607	
ADRA1B	TACR3	0.8252219011119977	
ADRB1	VIPR1	0.8252219011119977	
TNF	rs1799964	0.99	
ADRA1D	GNRH2	0.8407682499807351	
ADRA1B	XCL1	0.833320481754769	
ADRB1	GIPR	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC1A5	0.818984274335209	
ADRA1B	ADRA1B	0.849809014912932	
ADRA1A	BDKRB1	0.8354005520686607	
ADRA2B	PPBP	0.833320481754769	
ADRA1B	OXT	0.833320481754769	
ADRA2A	GNAZ	0.8567933402497072	
ADRB3	CALCRL	0.8421959353175904	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	BBC3	0.818984274335209	
CYP3A4	CYP3A4*1, CYP3A4*20, CYP3A4*8	0.99	
ADRB1	GPR15	0.8252219011119977	
ADRA1B	GRM5	0.8354005520686607	
ADRA1B	XCL2	0.833320481754769	
CYP3A4	rs2246709	0.99	
ABCB1	ABCB1*2(PMID:11503014)	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC9A8	0.818984274335209	
ADRB1	PTGER2	0.8252219011119977	
ADRB1	GPR25	0.8252219011119977	
ADRA1B	F2RL3	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PRSS3	0.818984274335209	
ABCB1	rs4148739	0.99	
ADRB2	AP2M1	0.8669217489920482	
CYP2C9	rs1799853	0.99	
CYP3A4	MGST2	0.792109822701367	
ADRA2A	ADRA2B	0.8459813396079446	
ADRA1B	PTGER1	0.8252219011119977	
ADRB1	GNAS	0.8549476386052599	
ADRA1B	HCRT	0.833320481754769	
ADRA1A	GNA11	0.8595571341704282	
TNF	rs361525	0.99	
SLC22A1	SLC22A1*1, SLC22A1*2, SLC22A1*3, SLC22A1*4, SLC22A1*5	0.99	
ADRB2	GCG	0.849809014912932	
ADRB3	VIPR1	0.8252219011119977	
ADRB1	TSHB	0.8407682499807351	
ADRB3	PTGDR	0.8252219011119977	
ADRB2	FSHR	0.8354005520686607	
ADRA1B	QRFPR	0.8252219011119977	
ADRB1	ADORA2B	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TTPAL	0.818984274335209	
ADRB2	DNM2	0.8621379174857935	
ADRB2	GHRH	0.8407682499807351	
ADRA2C	GNAT3	0.8497082254156562	
TNF	RNF31	0.7983096722548423	
ADRA1D	TRHR	0.8354005520686607	
ADRA1B	EDN2	0.833320481754769	
ADRB1	rs1801252	0.99	
ADRA1B	GPR68	0.8354005520686607	
ADRA1D	F2R	0.8252219011119977	
CYP3A4	rs4987161	0.9135172474836407	
ADRB2	FZD4	0.863443159858049	
ADRA1B	PROKR2	0.8354005520686607	
ADRA1D	GHRL	0.8407682499807351	
ADRB3	GCGR	0.8354005520686607	
ADRA1B	GNA12	0.8526462282435747	
REN	rs2368564	0.8350751364976787	
ADRB3	DRD5	0.8354005520686607	
ADRA1A	QRFPR	0.8252219011119977	
ADRA1A	NPFF	0.833320481754769	
ADRB2	TFRC	0.863443159858049	
ADRA1A	F2	0.833320481754769	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CTAGE5	0.818984274335209	
ADRA1D	HTR2B	0.8354005520686607	
ADRA1D	OXTR	0.8252219011119977	
CYP3A4	rs2246709	0.9509900498999999	
ADRA1D	NMUR2	0.8421959353175904	
ACE	rs4291	0.99	
ADRB2	PTH2	0.8407682499807351	
ADRA1D	P2RY11	0.8252219011119977	
CYP2C9	rs9332131	0.99	
ADRA1A	CHRM5	0.8354005520686607	
ADRA2C	CCL23	0.833320481754769	
ADRA1A	FFAR3	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	NLRC4	0.818984274335209	
ADRA1B	AGT	0.8407682499807351	
ADRB3	PTH2R	0.8354005520686607	
ADRB1	HTR4	0.8354005520686607	
Epinephrine	ADRA1D	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SERPING1	0.818984274335209	
ABCB1	rs1045642	0.99	
ADRB1	PTGDR	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	MYLK3	0.818984274335209	
ADRA1A	CHRM3	0.8354005520686607	
ADRB3	VIP	0.833320481754769	
ADRB2	AVP	0.8657767124847613	
ACE	rs4344	0.99	
ABCB1	rs10248420	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	LDB3	0.818984274335209	
ADRA1B	NMS	0.8407682499807351	
ADRB2	HIP1	0.8628338709774962	
ADRA1D	AVPR1A	0.8354005520686607	
ADRB2	OCRL	0.8613363396709319	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SETX	0.818984274335209	
CYP3A4	rs28371759	0.9135172474836407	
ADRA1A	TRH	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TLN2	0.818984274335209	
ADRB2	LDLRAP1	0.863443159858049	
ADRA1D	ADRA1A	0.849809014912932	
ADRA1D	HCRTR2	0.8252219011119977	
ADRB2	PTH2R	0.8354005520686607	
CYP1A2	MGST1	0.792109822701367	
ADRB2	DVL2	0.863443159858049	
ADRB3	GHRHR	0.8354005520686607	
ADRA2A	ADRA2A	0.8459813396079446	
ADRA1D	GPR17	0.8252219011119977	
ADRA1A	SAA1	0.833320481754769	
ADRB3	ADM2	0.8407682499807351	
CYP3A4	CYP3A4*1, CYP3A4*4	0.9509900498999999	
ADRB1	P2RY11	0.8252219011119977	
ADRB3	RLN2	0.8459813396079446	
ADRA1D	CHRM5	0.8354005520686607	
CYP3A4	CYP3A4*1, CYP3A4*4	0.8775210229989678	
ADRA2B	GNAI1	0.8497082254156562	
ADRB1	POMC	0.833320481754769	
CYP3A4	CYP3A4*1, CYP3A4*22	0.8775210229989678	
ADRA1D	TACR1	0.8252219011119977	
ADRB1	GCGR	0.8354005520686607	
CYP3A4	rs56324128	0.8775210229989678	
ADRB2	ADRB1	0.8354005520686607	
ADRB2	REPS2	0.863443159858049	
rs2740574	CYP3A	0.9414801494009999	
CYP3A4	CYP3A4*1, CYP3A4*22	0.9509900498999999	
ADRA2B	GNB1	0.8626329038096527	
ADRA1D	GNAQ	0.8595571341704282	
ADRA2A	GNAI3	0.8497082254156562	
ADRA1D	QRFP	0.833320481754769	
TNF	TNFRSF1A	0.8645520075007879	
ADRA1D	PROK1	0.8407682499807351	
ADRB1	VIPR2	0.8252219011119977	
ABCB1	rs28401781	0.99	
CYP2C9	CYP2C9*1, CYP2C9*13, CYP2C9*3, CYP2C9*5, CYP2C9*6, CYP2C9*8	0.99	
ACE	rs4343	0.99	
ADRA1D	OXT	0.833320481754769	
ADRA1A	GCG	0.8407682499807351	
ADRB3	GPR20	0.8252219011119977	
ADRA1B	GNRHR2	0.8354005520686607	
ADRB2	RAMP2	0.8421959353175904	
ADRB3	TSHR	0.8354005520686607	
ADRB3	IAPP	0.8407682499807351	
ADRA1A	CYSLTR1	0.8252219011119977	
ADRA1D	NTS	0.833320481754769	
ADRA1A	ADRA1D	0.849809014912932	
ADRA1D	PROK2	0.8407682499807351	
ADRA1D	MLN	0.8407682499807351	
ADRA1D	LPAR1	0.8252219011119977	
ADRB2	SGIP1	0.8664623807565615	
ADRA1B	GPR4	0.8354005520686607	
Epinephrine	CYP1A2	1	
ADRA1D	KISS1	0.833320481754769	
ADRA1A	XCL2	0.833320481754769	
ADRA1A	HCRTR1	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ALB	0.8638247395845513	
ADRB1	VIP	0.833320481754769	
ADRB3	ADCYAP1	0.8407682499807351	
ADRB2	AP2S1	0.8669217489920482	
ADRB2	CD4	0.863443159858049	
ADRA2C	rs61767072	0.99	
ADRA1A	CCKBR	0.8354005520686607	
ADRB1	GNB1	0.8526462282435747	
ADRA2A	GNAI2	0.8497082254156562	
