CCR5	Pulmonary edema	
FPR1	Pulmonary edema	
EGLN1	Pulmonary edema	
VEGFA	High altitude pulmonary edema	
F2R	Pulmonary edema	
VEGFA	Pulmonary edema	
TH	High altitude pulmonary edema	
HIF1A	Pulmonary edema	
REN	High altitude pulmonary edema	
ADRB2	Pulmonary edema	
FSHR	Pulmonary edema	
ALB	Pulmonary edema	
EDNRA	High altitude pulmonary edema	
EDN1	High altitude pulmonary edema	
ROCK1	Pulmonary edema	
AGTR1	High altitude pulmonary edema	
ADRB2	High altitude pulmonary edema	
GHRH	Pulmonary edema	
CXCL8	Pulmonary edema	
ACE	High altitude pulmonary edema	
CXCL2	Pulmonary edema	
EGLN1	High altitude pulmonary edema	
P2RY12	TAS2R39	0.8354005520686607	
HTR2B	TRHR	0.8354005520686607	
HTR1A	TAS2R60	0.8354005520686607	
AGTR1	MCHR1	0.8354005520686607	
DRD2	CCR6	0.8354005520686607	
HTR1A	KNG1	0.8407682499807351	
AGTR1	GRM1	0.8354005520686607	
ADRA1A	rs1048101	0.99	
ADRA1A	EDN2	0.833320481754769	
P2RY12	GRM7	0.8252219011119977	
DRD5	POMC	0.833320481754769	
Irbesartan	JUN	1	
CYP2C9	rs4086116	0.99	
ADRA2A	CXCL6	0.8407682499807351	
HTR1B	CXCL10	0.8407682499807351	
HTR1B	TAS2R60	0.8354005520686607	
AGTR1	NMS	0.8459813396079446	
CYP2C19	CYP2C19*1, CYP2C19*17, CYP2C19*2, CYP2C19*3	0.99	
DRD3	CXCL6	0.8459813396079446	
DRD1	TSHB	0.8407682499807351	
P2RY12	CCL25	0.8407682499807351	
Trandolapril	ACE	1	
DRD2	TAS2R43	0.8354005520686607	
DRD4	TAS2R4	0.8354005520686607	
HTR1A	CXCR2	0.8354005520686607	
DRD2	CCR8	0.8354005520686607	
HTR2B	CHRM3	0.8354005520686607	
ADRB2	RAMP1	0.8421959353175904	
P2RY12	HTR1B	0.8354005520686607	
ADRB1	RXFP1	0.8354005520686607	
HTR1D	S1PR2	0.8252219011119977	
ADRB2	GPHA2	0.8407682499807351	
ADRB2	GRK6	0.8086124452583398	
PTGIR	GPR84	0.8252219011119977	
HTR1A	P2RY13	0.8354005520686607	
HTR2C	QRFPR	0.8252219011119977	
HTR2C	SAA1	0.833320481754769	
PPARG	CDK19	0.7989062580087279	
HTR1A	TAS2R38	0.8354005520686607	
DRD4	CXCL16	0.8407682499807351	
AGTR1	PROKR2	0.8354005520686607	
P2RY12	FPR2	0.8354005520686607	
ADRB2	VIPR1	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SCAF1	0.818984274335209	
ADRB2	GPR45	0.8252219011119977	
ADRA1A	GPR65	0.8354005520686607	
HTR1D	SSTR5	0.8354005520686607	
CYP2C19	CYP2C19*1, CYP2C19*8, CYP2C19*9	0.99	
HTR2C	EDNRA	0.8252219011119977	
P2RY12	GAL	0.833320481754769	
HTR1D	CCR10	0.8354005520686607	
DRD1	RAMP1	0.8421959353175904	
HTR2C	GRM1	0.8354005520686607	
AGTR1	MLN	0.8407682499807351	
DRD1	GPR150	0.8252219011119977	
SLC22A1	rs35167514	0.99	
HTR2A	NMS	0.8407682499807351	
P2RY12	POMC	0.8407682499807351	
ADRB2	rs1042713	0.99	
ADRA1B	OPN4	0.8354005520686607	
ADRB2	SCTR	0.8354005520686607	
P2RY12	CXCL1	0.8407682499807351	
HTR2B	APP	0.833320481754769	
P2RY12	P2RY12 H1, P2RY12 H2	0.99	
HTR1D	TAS2R45	0.8354005520686607	
DRD4	OPRL1	0.8354005520686607	
HTR2C	PROK2	0.8407682499807351	
DRD4	SST	0.8407682499807351	
DRD4	TAS2R43	0.8354005520686607	
ADRA1A	GNG2	0.8632667287580127	
HTR1D	OPRD1	0.8354005520686607	
HTR1B	CCR5	0.8354005520686607	
HTR2B	NTSR2	0.8252219011119977	
ADRB1	GPR83	0.8252219011119977	
HTR2B	CHRM5	0.8354005520686607	
HTR1D	CCL27	0.8407682499807351	
HTR1D	MCHR2	0.8354005520686607	
HTR2A	TACR1	0.8252219011119977	
ADRA1A	CCK	0.833320481754769	
HTR1D	TAS2R14	0.8354005520686607	
ADRB2	GPR83	0.8252219011119977	
ADRB2	ARPC5	0.8628338709774962	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AP4E1	0.818984274335209	
ADRA1D	CYSLTR2	0.8252219011119977	
Carvedilol	CYP2E1	1	
