IFIH1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
BTK	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
STAT1	Autoimmune thrombocytopenia	
MAP2K1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
MTHFR	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
MMAA	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PALB2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
CD19	Autoimmune thrombocytopenia	
ITK	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PDGFRB	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
CYP2C19	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
TCN2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
AGK	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
FCGR3A	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
MMAB	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
APOE	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
TYK2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
CD19	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
NRAS	Autoimmune thrombocytopenia	
CYP2C9	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
MMACHC	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
MS4A1	Autoimmune thrombocytopenia	
HLA-DRB1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
SRC	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
FCGR2A	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ITGA2B	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
NFKB1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ICOS	Autoimmune thrombocytopenia	
FCGR2C	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ITGB3	Autoimmune thrombocytopenia	
BCR	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PTPN22	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
CSF2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
OCRL	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
BRAF	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
NFKB2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
TFRC	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
JAK2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ALB	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
STAT1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ITGB3	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
JAK1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PDGFB	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
HLA-DRB3	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
MUT	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
NFKB2	Autoimmune thrombocytopenia	
IL3	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PTPN11	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ABL1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
IFNA2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PNP	Autoimmune thrombocytopenia	
ICOS	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
NFKB1	Autoimmune thrombocytopenia	
STAT2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
VWF	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
SCARB2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
NRAS	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ITGA2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
CFH	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PECAM1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
IFNAR1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
IFNAR2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
LYN	EPHB4	0.8591633312389747	
FGF2	GFRA2	0.855946747881349	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ITGA2	0.8638247395845513	
CD3D	CD3G	0.8674663999822523	
Pentosan Polysulfate	FGF1	1	
FGF4	IL2RB	0.853898073011433	
FCGR1A	IGKV1-17	0.8622716890165686	
EGFR	NRTN	0.847975029345742	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TTPAL	0.8638247395845513	
CYP19A1	rs10046	0.99	
Cyanocobalamin	GIF	1	
UGT1A1	rs10929302	0.8775210229989678	
FYN	PAK2	0.8635288847054211	
FCGR1A	IGHV	0.8622716890165686	
ALOX5	rs2115819	0.99	
CYP2C9	rs4086116	0.99	
FGF2	SHC2	0.8513157657742707	
IFNAR1	IFNA5	0.8634258189159196	
Imatinib	PDGFRB	1	
CYP2C19	CYP2C19*1, CYP2C19*17, CYP2C19*2, CYP2C19*3	0.99	
FCGR2A	IGHV3-7	0.8622716890165686	
Ponatinib	CYP2C8	1	
FYN	EPHA4	0.8566409204013108	
FYN	EPHA3	0.8566409204013108	
FCGR1A	IGHV3-53	0.8622716890165686	
FCGR3A	IGHG1	0.8614909610942352	
IFNAR1	IFNA14	0.8634258189159196	
LCK	P01737	0.8637443836010867	
CD3D	WNT5A	0.863443159858049	
BCR	PIK3R1	0.8433517079273392	
FCGR3A	V1-13	0.8631759289499149	
MAP2K2	KRAS	0.8680920646920249	
LCK	PECAM1	0.8354005520686607	
EGFR	PIK3R2	0.8372883840480309	
FYN	PIK3CD	0.8316169009798423	
C1QA	C1S	0.8396144291374222	
ABCC1	rs4148350	0.99	
EGFR	FCHO2	0.8541713484689148	
FCGR2A	IGLV3-1	0.8622716890165686	
ITGA2B	CSK	0.8516636985739204	
FGFR1	FGFR2	0.8513157657742707	
FGF4	GRIN2C	0.853898073011433	
CD3D	STAM2	0.8628338709774962	
APOE	APOE E2, APOE E3, APOE E4	0.8381682809941505	
FCGR2A	IGHV1-69	0.8622716890165686	
ITGB3	FGA	0.8661175545832356	
FYN	ERBB4	0.8435102388865442	
CYP2C19	CYP2C19*1, CYP2C19*8, CYP2C19*9	0.99	
RET	GDNF	0.864908116896693	
TPMT	TPMT*1, TPMT*2, TPMT*3A, TPMT*3C	0.99	
Dasatinib	KIT	1	
C1S	C1QA	0.8396144291374222	
FYN	VAV1	0.8583026292860755	
SRC	LCK	0.8637281740837501	
FGF4	GFRA1	0.855946747881349	
CFH	rs1061170	0.8551864921887058	
Dasatinib	YES1	1	
CD3D	TRBV12-3	0.8618120354122875	
SLC22A1	rs35167514	0.99	
FGF2	TEK	0.853898073011433	
EGFR	RASGRP3	0.8372883840480309	
LYN	LYN	0.8688322151003656	
Ponatinib	FGFR2	1	
EGFR	FNBP1	0.863443159858049	
EGFR	IL2RB	0.8435102388865442	
PDGFRA	HBEGF	0.8513157657742707	
UGT1A9	rs2741049	0.9509900498999999	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLA2	0.8638247395845513	
FGFR1	FGF23	0.8702045334767963	
EGFR	IRS2	0.853898073011433	
ERBB2	EGF	0.8699241648547257	
JAK2	SHC1	0.8655209368590407	
SRC	EFNB3	0.8664623807565615	
CD3D	HLA-DRB4	0.8626940542935567	
EGFR	RASGRP4	0.8372883840480309	
IFNGR1	STAT1	0.8541037391936209	
CD3D	APOB	0.8628338709774962	
rs429358	TOMM40	0.829786598184209	
FYN	NRG4	0.8435102388865442	
KIT	ERBB4	0.847975029345742	
FYN	SPTBN1	0.857186514138311	
JAK2	PTPN11	0.8646311356702836	
Nintedanib	FLT1	1	
EGFR	MEMO1	0.8319100629186602	
CDK2	MCM4	0.8484307441293273	
JAK1	IFNA13	0.8622496297868503	
EGFR	SH3GL2	0.8674353964859094	
IFNAR2	IFNA14	0.8622496297868503	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CEP44	0.8638247395845513	
FYN	EREG	0.8435102388865442	
FGFR4	FGF5	0.8626533706911382	
FGFR4	FGF4	0.8694788835721461	
MAP2K1	BRAF	0.8690348486706703	
IKBKB	NFKB1	0.86411620310611	
FCGR3A	IGHV1-2	0.8631759289499149	
UGT1A1	UGT1A1*1, UGT1A1*28, UGT1A1*37, UGT1A1*6	0.9509900498999999	
FCGR2A	IGLV2-14	0.8622716890165686	
FCGR1A	ELMO2	0.7983096722548423	
MAP2K1	MAPK1	0.8696312330667052	
CYP3A4	rs4986910	0.99	
FYN	FYN	0.8707993646778878	
EPHA2	FYN	0.8566409204013108	
CYP2C19	rs12768009	0.99	
FGF4	PTPN11	0.8694549741539058	
ABCB1	rs2235040	0.99	
YES1	RAC1	0.8475031000327038	
EPHA2	YES1	0.8566409204013108	
FGF4	GFRA3	0.855946747881349	
UGT1A	rs11563250	0.8953382542587163	
CYP2C9	CYP2C9*1, CYP2C9*2, CYP2C9*3, CYP2C9*6	0.99	
ITGB3	APBB1IP	0.8665444230442223	
FCGR3A	IGHV3-53	0.8631759289499149	
Vandetanib	TEK	1	
Dasatinib	SRC	1	
FGF1	IL3RA	0.853898073011433	
FGF1	NEFL	0.853898073011433	
MAP2K1	AGK	0.8535455451872151	
FYN	FGF18	0.8601235081501506	
EGFR	FZD4	0.863443159858049	
FGF2	FRS2	0.8707732572225595	
FGFR3	FGF10	0.858976627682086	
CD3D	LCK	0.8637443836010867	
VEGFA	rs833061	0.99	
SLCO1B1	rs4363657	0.99	
FGF1	FGF2	0.8711460506590507	
FCGR3A	IGHV3-33	0.8631759289499149	
FGFR3	IRS1	0.8435102388865442	
FGF2	ERBB2	0.8655209368590407	
FGF1	FRS2	0.870793883975244	
LCK	KITLG	0.8644439691138128	
LCK	PTPRJ	0.8086124452583398	
YES1	EFNB3	0.858976627682086	
CD3D	SLC2A8	0.8621379174857935	
FGF1	GRIN2C	0.853898073011433	
CYP2C19	CYP2C19*1, CYP2C19*16, CYP2C19*2	0.99	
CD3D	AVPR2	0.863443159858049	
FCGR3A	IGKV1-17	0.8631759289499149	
FGF2	JAK2	0.853898073011433	
FCGR1A	IGKV1-39	0.8622716890165686	
FCGR1A	V2-11	0.8622716890165686	
FCGR1A	V1-11	0.8622716890165686	
ERBB2	FGFR3	0.855946747881349	
EGFR	CSF2RA	0.8435102388865442	
PDGFRB	FGF19	0.8435102388865442	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:q6IZvGeHHY4cOWPHVW3Z7k177/w32630	0.8638247395845513	
KDR	ROCK2	0.8252219011119977	
ERBB2	ANGPT1	0.8281207788973212	
CYP2C9	rs56165452	0.99	
CYP3A4	rs35599367	0.9135172474836407	
Bosutinib	MAP2K1	1	
LYN	P0CG05	0.8574228804342738	
FGF2	IL2	0.853898073011433	
EPHA2	EPHB1	0.8459813396079446	
CDK2	CDC25A	0.849809014912932	
TPMT	rs1800460	0.99	
CYP3A4	rs35599367	0.99	
PDGFRB	BTC	0.847975029345742	
EGFR	NRG4	0.8693683183476757	
MAP2K2	MAP2K2	0.8676677067435474	
CD3D	CLTB	0.8654065929327814	
PIK3CA	rs2699887	0.8595395962867226	
JAK2	CAMK2B	0.8354005520686607	
KDR	ELMO2	0.7983096722548423	
FYN	DOCK1	0.8536170489627942	
CYP3A5	CYP3A5*1A, CYP3A5*3A	0.99	
YES1	EPHB3	0.8591633312389747	
KIT	HGF	0.8372883840480309	
FGF1	SPTBN1	0.853898073011433	
Ponatinib	LYN	1	
Tirofiban	ITGB3	1	
CYP3A4	CYP3A4*1, CYP3A4*20, CYP3A4*8	0.99	
FGF1	NCAM1	0.853898073011433	
FYN	FGFR4	0.8372883840480309	
LYN	EPHB1	0.8591633312389747	
FGF4	PSPN	0.855946747881349	
SRC	EPHA2	0.8566409204013108	
ABCB1	rs4148739	0.99	
FGFR2	KLB	0.8513157657742707	
PDGFRB	HGF	0.8372883840480309	
CYP2C9	rs1799853	0.99	
EGFR	IL2	0.8435102388865442	
LYN	V5-4	0.8516636985739204	
CD3D	VAMP2	0.8628338709774962	
KRAS	rs112445441	0.8594111440451047	
FGF2	IL2RG	0.853898073011433	
FGFR3	PDGFB	0.8435102388865442	
STAT5B	JAK2	0.8679408336968693	
ITGB3	FN1	0.8661175545832356	
SRC	CD86	0.8516636985739204	
ERBB2	NRG2	0.8695069661438609	
C1QB	C1R	0.8396144291374222	
KIT	FGF3	0.855946747881349	
Bosutinib	HCK	1	
FGF2	FGF16	0.8707864810775601	
EGFR	AP2B1	0.8664242982340606	
FCGR1A	IGHV2-5	0.8622716890165686	
FGF4	JAK1	0.853898073011433	
FGF2	PIK3R1	0.8698411176492354	
Trastuzumab	C1R	1	
FGF1	RASGRP1	0.8513157657742707	
LCK	KLRC2	0.8516636985739204	
FGFR1	FGF6	0.8699830962617014	
EGFR	EPS15	0.8681819658126884	
LCK	HLA-DQA1	0.8637443836010867	
FGFR2	NRG1	0.855946747881349	
FCGR3A	FCGR1A	0.8580060915991022	
UGT1A1	rs1042640	0.9509900498999999	
FGFR2	FGF18	0.8696186908525637	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AMPD3	0.8638247395845513	
YES1	PTPN11	0.8541037391936209	
LYN	IGHV3-11	0.8574228804342738	
FCGR2A	RAC1	0.852724204446584	
FCGR3A	IGKV1D-12	0.8631759289499149	
LCK	HLA-DRB1	0.8637443836010867	
FGF1	SPTAN1	0.853898073011433	
JAK1	CAMK2G	0.8354005520686607	
FGFR1	KIT	0.8435102388865442	
CD3D	HLA-DPB1	0.8626940542935567	
FCGR3A	IGLC7	0.8631759289499149	
FCGR2A	IGHV1-46	0.8622716890165686	
YES1	EFNA5	0.8582609785019573	
UGT1A9	rs2003569	0.8953382542587163	
YES1	CD80	0.8516636985739204	
FYN	GRIN2B	0.8567933402497072	
Imatinib	SLC22A2	1	
CAMK2G	SHC1	0.8601235081501506	
CHUK	RIPK2	0.8252219011119977	
FCGR2A	IGKV3D-20	0.8622716890165686	
VEGFA	PIK3CB	0.8468891025876341	
ABCB1	rs1045642	0.99	
FYN	PLXNA3	0.8627344076022689	
UGT1A9	rs72551344	0.8953382542587163	
FGFR3	EGF	0.855946747881349	
FGFR4	NRTN	0.8281207788973212	
ABCB1	rs10248420	0.99	
EGFR	FGF22	0.8619307007599862	
FYN	NRP1	0.8630269087798201	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOA1	0.8638247395845513	
FCGR1A	IGHV4-34	0.8622716890165686	
VEGFA	rs699947	0.99	
FGFR2	KITLG	0.8435102388865442	
LYN	LAT	0.8560021777996374	
FGF1	FGF6	0.8709618647921983	
FYN	NPHS1	0.8492966271403907	
PDGFRB	FGF18	0.8610963123912945	
FCGR3A	IGKV2D-30	0.8631759289499149	
CYP3A4	CYP3A4*1, CYP3A4*4	0.9509900498999999	
CD3D	PTPN6	0.8086124452583398	
FGF2	FGF17	0.8711133509521624	
FCGR2A	IGHV	0.8622716890165686	
CYP2D6	CYP2D6*1, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	0.99	
FYN	CBL	0.8562204294778428	
EGFR	CAMK2A	0.8435102388865442	
FYN	SOS1	0.8691693402499803	
FGF1	TRAT1	0.853898073011433	
FGF1	FGF18	0.8708774311848432	
PTK6	PTK6	0.8687679411319893	
SRC	EFNB1	0.8664623807565615	
UGT1A1	rs1042640	0.8775210229989678	
Ofatumumab	MS4A1	1	
UGT1A1	UGT1A1*1, UGT1A1*28	0.99	
KIT	FRS2	0.8610963123912945	
UGT1A8	rs6759892	0.8775210229989678	
FGFR1	FRS2	0.868709164914214	
LYN	EPHA10	0.8566409204013108	
IFNAR2	IFNA16	0.8622496297868503	
CYP2C9	CYP2C9*1, CYP2C9*13, CYP2C9*3, CYP2C9*5, CYP2C9*6, CYP2C9*8	0.99	
JAK2	STAT1	0.8673180881471152	
FGF2	JAK1	0.853898073011433	
CYP3A5	rs17161788	0.99	
ERBB2	CSF2RA	0.8281207788973212	
Auranofin	PRDX5	1	
Nintedanib	FLT3	1	
ABCG2	rs12505410	0.99	
FCGR3A	IGHV3-9	0.8631759289499149	
UGT1A	rs10929303	0.9702989999999999	
LYN	IGKV2D-30	0.8574228804342738	
FYN	NCK2	0.8666667021189254	
FCGR3A	V5-6	0.8631759289499149	
FCGR2A	IGHV3-9	0.8622716890165686	
LCK	KLRK1	0.8516636985739204	
FYN	EFNB1	0.8664623807565615	
FCGR1A	IGLC1	0.8622716890165686	
ERBB2	PTPN11	0.847975029345742	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AP1M1	0.8638247395845513	
CYP2D6	rs5030655	0.99	
BCR	CNTRL	0.855009540709891	
LYN	IGKV1D-33	0.8574228804342738	
ERBB2	TEK	0.8281207788973212	
ERBB2	CAMK2G	0.8281207788973212	
VEGFA	CRK	0.8433517079273392	
EGFR	RET	0.847975029345742	
EGFR	FGF23	0.8658423074095727	
SRC	PXN	0.8563805634189255	
CYP2D6	rs1065852	0.99	
FGFR2	KRAS	0.860155337427376	
EGFR	STAM2	0.8665370616181098	
ABL1	ROBO1	0.842023951637581	
EGFR	REPS1	0.8658049874828022	
CD3D	AGFG1	0.8628338709774962	
ITGA2B	ITGA2B	0.8650858929664645	
EGFR	AP2A2	0.8664242982340606	
FCGR1A	IGHG4	0.8614909610942352	
FGF1	CAMK2G	0.853898073011433	
ERBB2	RET	0.8372883840480309	
IKBKB	NFKBIA	0.8539671061984366	
CD3D	SLC18A3	0.8621379174857935	
LYN	SOS1	0.8619541249075027	
JAK2	STAT3	0.8676723980099379	
LYN	V2-11	0.8516636985739204	
APOB	rs1801701	0.8542055322677212	
FGF2	CD19	0.8513157657742707	
CAMK2G	HRAS	0.852724204446584	
PDGFRB	PIK3CA	0.8656414349454913	
LCK	YES1	0.8637281740837501	
JAK2	IL13RA1	0.8541037391936209	
ITGA2B	PTK2	0.859961955520961	
EGFR	EPN2	0.8634258189159196	
IFNAR1	IFNAR2	0.8634258189159196	
TEK	HRAS	0.852724204446584	
ITK	VAV2	0.8545673917919406	
FGFR2	FGFR3	0.8513157657742707	
UGT1A1	rs887829	0.9135172474836407	
CYP2D6	rs745746329	0.99	
FCGR3A	V1-11	0.8631759289499149	
IFNAR2	JAK1	0.8596263425456068	
CD3D	PTPRJ	0.8086124452583398	
FCGR3A	IGHV3-30	0.8631759289499149	
EGFR	SPTBN1	0.8435102388865442	
LYN	V2-8	0.8516636985739204	
ERBB2	RHOA	0.8441288359160942	
EGFR	ARPC2	0.8628338709774962	
EGFR	rs11568315	0.99	
FCGR3A	IGHV4-34	0.8631759289499149	
IFNG	rs2430561	0.8517396089674385	
UGT1A9	rs3806598	0.9509900498999999	
FGFR4	FGF1	0.8694788835721461	
IKBKB	RIPK1	0.851577718501957	
FGFR2	KL	0.8513157657742707	
FGF4	LCK	0.8513157657742707	
FGF2	GDNF	0.855946747881349	
FGF4	KITLG	0.8638403979636339	
EGFR	SGIP1	0.8658049874828022	
SRC	KIT	0.8639651892799458	
ABCB1	rs7787082	0.99	
JAK1	IL5	0.8281207788973212	
Bosutinib	MAP2K2	1	
FGF1	GRIN2A	0.853898073011433	
ABCC1	rs28364006	0.99	
ABCB1	rs4148740	0.99	
SRC	PAK3	0.850491991613676	
EGFR	FGF3	0.8619307007599862	
ERBB2	CAMK2B	0.8281207788973212	
Dasatinib	FMO3	1	
LYN	V5-6	0.8516636985739204	
UGT1A1	UGT1A1*1, UGT1A1*28	0.9135172474836407	
Dasatinib	ABL1	1	
UGT1A7	rs17863778	0.8775210229989678	
FGF4	CD19	0.8513157657742707	
ERBB2	rs1136201	0.99	
ABCB1	rs10276036	0.99	
FGF4	FGFR3	0.8695419162896381	
VEGFA	HSP90AA1	0.8625501908282859	
CYP2D6	rs567606867	0.99	
CD3D	HGS	0.8628338709774962	
FYN	DPYSL4	0.8396144291374222	
LYN	IGKV3-11	0.8574228804342738	
MAP2K2	AKAP9	0.8535455451872151	
MAP2K2	MAPK1	0.8698680993731955	
RET	SOS1	0.8678693755352651	
CYP3A4	rs2242480	0.9509900498999999	
PDGFRA	PDGFB	0.8693544416020658	
Sunitinib	PDGFRB	1	
FYN	KLB	0.8372883840480309	
KIT	GRB10	0.7989062580087279	
IFNGR2	IFNG	0.860343039361049	
FYN	SRC	0.8697229727831113	
MAP2K2	HRAS	0.8680920646920249	
FYN	FGFR2	0.8372883840480309	
PDGFRA	GRB2	0.8688939580810102	
CYP1A2	rs72547517	0.99	
EGFR	SOS1	0.8700025940714176	
JAK1	IFNA5	0.8622496297868503	
JAK2	GHR	0.8660919538865761	
FYN	EPHB2	0.866499965431577	
FGF2	HBEGF	0.8655209368590407	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TTN	0.8638247395845513	
CYP3A4	CYP3A4*1, CYP3A4*1G	0.8775210229989678	
ABCC2	rs717620	0.99	
KDR	FYN	0.8587848464414376	
CD3D	ADRB2	0.863443159858049	
CYP2D6	rs3892097	0.99	
KDR	PTK2	0.8662260734280781	
EGFR	KIAA0319	0.8628338709774962	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	RLF	0.8638247395845513	
CYP2D6	CYP2D6*1, CYP2D6*10	0.99	
FYN	EFNA5	0.8582609785019573	
FGFR2	FRS2	0.8684157372450703	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AP4E1	0.8638247395845513	
FGF4	ICOS	0.853898073011433	
IFNAR1	IFNA13	0.8634258189159196	
EGFR	WASL	0.8628338709774962	
Aminosalicylic Acid	MPO	1	
JAK1	LIFR	0.8111510027898975	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	FN1	0.8638247395845513	
FYN	KLRD1	0.8516636985739204	
JAK1	CSF2	0.8281207788973212	
FYN	BTC	0.8435102388865442	
FGF1	IRS2	0.8638403979636339	
ERBB2	FRS3	0.847975029345742	
UGT1A9	rs6759892	0.8600583546412883	
ERBB2	HGF	0.853898073011433	
Didanosine	PNP	1	
KDR	NCK1	0.8570412853760152	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SETX	0.8638247395845513	
FCGR3A	IGLV7-43	0.8631759289499149	
PDGFRA	FGFR1	0.8435102388865442	
CDK2	CDC6	0.8509568505095917	
rs4987161	CYP3A	0.9801	
FGF4	RPS27A	0.8496066018949794	
FCGR3A	IGLV3-19	0.8631759289499149	
FGFR2	FGFR4	0.8513157657742707	
FGF2	RPS27A	0.8496066018949794	
JAK2	IL5	0.865097443947573	
KIT	KIT	0.867034484166376	
Dasatinib	CYP1A2	1	
