B2M	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
RHOA	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
SCARB2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
APOE	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PAK1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PTGS2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CYP2C9	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
REN	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
OCRL	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CD2AP	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
AGTR1	Proteinuria Adverse Event	
FABP2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
VEGFA	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
MTHFR	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PTPN22	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
INS	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
NPHS1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
AGT	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
ALB	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
FGA	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
ACE	Proteinuria Adverse Event	
HP	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
FN1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
NCK2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CYP2C9	Proteinuria Adverse Event	
HLA-DRB1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
NCK1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
LRP2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
POMC	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
AGTR1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CD80	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CTSL	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
HLA-DPB1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
INSR	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
MTHFR	Proteinuria Adverse Event	
NPHS1	Proteinuria Adverse Event	
CFH	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PAK2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
ACE	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
SAA1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
AGT	Proteinuria Adverse Event	
APOA1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
RET	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PPARA	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
HLA-DQA1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
Ibuprofen	SLC22A6	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ITGA2	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TTPAL	0.8638247395845513	
EGFR	NRTN	0.847975029345742	
AGTR1	MCHR1	0.8354005520686607	
UGT2B7	rs7662029	0.99	
AGTR1	GRM1	0.8354005520686607	
UGT1A1	rs10929302	0.8775210229989678	
FYN	PAK2	0.8635288847054211	
CYP2C9	rs4086116	0.99	
PTGDR2	CCL23	0.833320481754769	
AGTR1	NMS	0.8459813396079446	
CYP2C19	CYP2C19*1, CYP2C19*17, CYP2C19*2, CYP2C19*3	0.99	
FYN	EPHA4	0.8566409204013108	
Trandolapril	ACE	1	
FYN	EPHA3	0.8566409204013108	
MAPK3	AGK	0.8535455451872151	
UGT1A6	rs6759892	0.9135172474836407	
BCHE	rs28933389	0.99	
LCK	P01737	0.8637443836010867	
LCK	PECAM1	0.8354005520686607	
EGFR	PIK3R2	0.8372883840480309	
FYN	PIK3CD	0.8316169009798423	
Captopril	ALB	1	
PPARG	CDK19	0.7989062580087279	
ABCC1	rs4148350	0.99	
EGFR	FCHO2	0.8541713484689148	
AGTR1	PROKR2	0.8354005520686607	
APOE	APOE E2, APOE E3, APOE E4	0.8381682809941505	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SCAF1	0.818984274335209	
RXRA	CDK19	0.7989062580087279	
MAPK3	MARK3	0.8692919122501969	
FYN	ERBB4	0.8435102388865442	
CYP2C19	CYP2C19*1, CYP2C19*8, CYP2C19*9	0.99	
Dasatinib	KIT	1	
AGTR1	MLN	0.8407682499807351	
FYN	VAV1	0.8583026292860755	
SRC	LCK	0.8637281740837501	
Dasatinib	YES1	1	
CFH	rs1061170	0.8551864921887058	
EGFR	RASGRP3	0.8372883840480309	
UGT1A10	rs2070959	0.8953382542587163	
EGFR	FNBP1	0.863443159858049	
Flurbiprofen	SLC22A6	1	
EGFR	IL2RB	0.8435102388865442	
UGT1A9	rs2741049	0.9509900498999999	
Celecoxib	PTGS2	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLA2	0.8638247395845513	
EGFR	IRS2	0.853898073011433	
PPARA	rs4823613	0.99	
EGFR	RASGRP4	0.8372883840480309	
SRC	EFNB3	0.8664623807565615	
PDPK1	PRKCQ	0.8459813396079446	
rs429358	TOMM40	0.829786598184209	
FYN	NRG4	0.8435102388865442	
FYN	SPTBN1	0.857186514138311	
KIT	ERBB4	0.847975029345742	
CFTR	AP2M1	0.8666098248257992	
CFTR	TRIP10	0.863443159858049	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AP4E1	0.818984274335209	
EGFR	MEMO1	0.8319100629186602	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CEP44	0.8638247395845513	
FYN	EREG	0.8435102388865442	
EGFR	SH3GL2	0.8674353964859094	
IKBKB	NFKB1	0.86411620310611	
Celecoxib	ORM1	1	
MAPK3	IL17RD	0.8284606574555877	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GJC2	0.818984274335209	
Ibuprofen	PPARG	1	
